City,Company Name or Owners's Name,Company Type,building,address,full_address,Lat,Lon
CALGARY,"LOUGHEED, BENNETT, MCLAWS & CO.,",Attorney:,,Drawer 166,"Drawer 166, Calgary, Alberta, Canada",,
CALGARY,"BRITISH CANADIAN SECURITIES, Ltd.,",Real Estate:,,809 Center st.,"809 Center st., Calgary, Alberta, Canada",,
CALGARY,"HAMMOND REALTY CO., Ltd.,",Real Estate:,,"130 9th ave., W.","130 9th ave., W., Calgary, Alberta, Canada",,
CALGARY,"HUTTON TOWNSITE CO., Ltd.,",Real Estate:,,Leeson-Lineham Blk.,"Leeson-Lineham Blk., Calgary, Alberta, Canada",51.0454116,-114.0662077
CALGARY,"LOWRY'S LIMITED,",Real Estate:,,"807 1st st., E.","807 1st st., E., Calgary, Alberta, Canada",,
CALGARY,"MacCULLOUGH & MCGILLIS LAND CO.,",Real Estate:,,815A Center st.,"815A Center st., Calgary, Alberta, Canada",,
CALGARY,"MCINTYRE & MCINTYRE,",Real Estate:,,308 Leeson-Lineham blk.,"308 Leeson-Lineham blk., Calgary, Alberta, Canada",,
CALGARY,"MacLAREN BROTHERS,",Real Estate:,,"cor. 9th ave. & 1st st., W.","cor. 9th ave. & 1st st., W., Calgary, Alberta, Canada",,
CALGARY,"PYLE & CARLISLE,",Real Estate:,,"236 8th ave., W.","236 8th ave., W., Calgary, Alberta, Canada",,
CALGARY,"D. A. SMITH & CO.,",Real Estate:,,"131A 8th ave., W.","131A 8th ave., W., Calgary, Alberta, Canada",,
CALGARY,"THE TREGILLUS LAND CO.,",Real Estate:,,"105A 8th ave., W.","105A 8th ave., W., Calgary, Alberta, Canada",,
CALGARY,G. S. WHITAKER,Real Estate:,,,,,
CALGARY,"ARTHUR E. WILSON,",Real Estate:,,"105A 8th ave., W.","105A 8th ave., W., Calgary, Alberta, Canada",,
CALGARY,"Agencies Limited,",Real Estate:,,12 Clarence blk,"12 Clarence blk, Calgary, Alberta, Canada",,
CALGARY,"Alberta Loan & Inv. Co., Ltd.,",Real Estate:,,Blow blk.,"Blow blk., Calgary, Alberta, Canada",51.0410983,-114.0334287
CALGARY,"Alberta Locators,",Real Estate:,,"208 8th ave., E.","208 8th ave., E., Calgary, Alberta, Canada",,
CALGARY,"James Aldrich,",Real Estate:,,24 Lineham blk.,"24 Lineham blk., Calgary, Alberta, Canada",,
CALGARY,"J. Harry Alexander,",Real Estate:,,Grain Exch.,"Grain Exch., Calgary, Alberta, Canada",,
CALGARY,"Alliance Inv. Co.,",Real Estate:,,"711 1st st., W.","711 1st st., W., Calgary, Alberta, Canada",,
CALGARY,"Anderson Inv. Co.,",Real Estate:,,209 Grain Exch.,"209 Grain Exch., Calgary, Alberta, Canada",,
CALGARY,Anderson Land Co.,Real Estate:,,,,,
CALGARY,"Archer & Robertson,",Real Estate:,,Quebec Bk.,"Quebec Bk., Calgary, Alberta, Canada",51.0292504,-114.0925915
CALGARY,"Archibald & Gladwin,",Real Estate:,,9 Caledonian blk.,"9 Caledonian blk., Calgary, Alberta, Canada",,
CALGARY,"B. H. Armstrong,",Real Estate:,,"814 2d st., E.","814 2d st., E., Calgary, Alberta, Canada",,
CALGARY,"Armstrong & McCallum Co.,",Real Estate:,,"135 8th ave., E.","135 8th ave., E., Calgary, Alberta, Canada",,
CALGARY,"Astley & Shackle,",Real Estate:,,"205 8th ave., W.","205 8th ave., W., Calgary, Alberta, Canada",,
CALGARY,"Athabaska Inv. Co.,",Real Estate:,,707 Centre st.,"707 Centre st., Calgary, Alberta, Canada",,
CALGARY,"Balfour, Anderson & Co.",Real Estate:,,,,,
CALGARY,"Bourne & Clememtson,",Real Estate:,,16 McDougall,"16 McDougall, Calgary, Alberta, Canada",51.0509071,-114.0385334
CALGARY,"J. Baker,",Real Estate:,,14 Crown blk.,"14 Crown blk., Calgary, Alberta, Canada",,
CALGARY,"C. Brace,",Real Estate:,,14 Crown blk.,"14 Crown blk., Calgary, Alberta, Canada",,
CALGARY,"Baldwin & Ruttle,",Real Estate:,,"127 8th ave., E.","127 8th ave., E., Calgary, Alberta, Canada",,
CALGARY,"Ballantyne & Kitely,",Real Estate:,,10 Macke,"10 Macke, Calgary, Alberta, Canada",,
CALGARY,"L. Bannerman,",Real Estate:,,707 Centre st.,"707 Centre st., Calgary, Alberta, Canada",,
CALGARY,"R. S. Barbour,",Real Estate:,,"238 8th ave., E.","238 8th ave., E., Calgary, Alberta, Canada",,
CALGARY,"M. F. & O. A. Batchelor,",Real Estate:,,22 Lineham,"22 Lineham, Calgary, Alberta, Canada",,
CALGARY,"E. D. Benson,",Real Estate:,,"221A 8th ave., E.","221A 8th ave., E., Calgary, Alberta, Canada",,
CALGARY,"Beveridge Bros.,",Real Estate:,,15 McDougall blk.,"15 McDougall blk., Calgary, Alberta, Canada",,
CALGARY,"L. W. Bick,",Real Estate:,,210 L. & L. blk.,"210 L. & L. blk., Calgary, Alberta, Canada",,
CALGARY,"S. J. Blair,",Real Estate:,,"229 8th ave., W.","229 8th ave., W., Calgary, Alberta, Canada",,
CALGARY,"V. P. Bond,",Real Estate:,,65 McDougall blk.,"65 McDougall blk., Calgary, Alberta, Canada",,
CALGARY,"Brien & Spaulding,",Real Estate:,,Centre st. & 7th ave.,"Centre st. & 7th ave., Calgary, Alberta, Canada",,
CALGARY,"Bryden & Munn,",Real Estate:,,"8th ave. & 2d st., W.","8th ave. & 2d st., W., Calgary, Alberta, Canada",,
CALGARY,"Buckler & Bilson,",Real Estate:,,502 L. & L. blk.,"502 L. & L. blk., Calgary, Alberta, Canada",,
CALGARY,"Burgess & Moss,",Real Estate:,,8 Elma blk.,"8 Elma blk., Calgary, Alberta, Canada",,
CALGARY,"Calgary City & Sub. Dev. Co.,",Real Estate:,,1 Blow,"1 Blow, Calgary, Alberta, Canada",51.0898841,-114.1293207
CALGARY,"Calgary Colonization Co.,",Real Estate:,,"809 1st st., W.","809 1st st., W., Calgary, Alberta, Canada",,
CALGARY,"Calgary Land Co.,",Real Estate:,,813 Centre st.,"813 Centre st., Calgary, Alberta, Canada",,
CALGARY,"Calgary-Lethbridge Rlty. Co.,",Real Estate:,,"229 8th ave., E.","229 8th ave., E., Calgary, Alberta, Canada",,
CALGARY,"Calgary Rlty. Co.,",Real Estate:,,2 Lineham blk.,"2 Lineham blk., Calgary, Alberta, Canada",,
CALGARY,"W. B. Cameron,",Real Estate:,,"1420A 1st st., W.","1420A 1st st., W., Calgary, Alberta, Canada",,
CALGARY,"Cameron & Anderson,",Real Estate:,,"205 8th ave., W.","205 8th ave., W., Calgary, Alberta, Canada",,
CALGARY,"Canadian-American Land Co.,",Real Estate:,,"134 9th ave., W.","134 9th ave., W., Calgary, Alberta, Canada",,
CALGARY,"Canadian Birbeck Loan & Inv. Co.,",Real Estate:,,2 L. & L. blk.,"2 L. & L. blk., Calgary, Alberta, Canada",,
CALGARY,"Canadian Pacific Irr. Coloniz. Co., Ltd.",Real Estate:,,,,,
CALGARY,"Canadian Rlty. Co.,",Real Estate:,,"221A 8th ave., E.","221A 8th ave., E., Calgary, Alberta, Canada",,
CALGARY,"Canada West Colonization Co.,",Real Estate:,,"240A 8th ave., E.","240A 8th ave., E., Calgary, Alberta, Canada",,
CALGARY,"Canadian West Land & Dev. Co.,",Land Companies:,,506 L. & L. blk.,"506 L. & L. blk., Calgary, Alberta, Canada",,
CALGARY,"Century Rlty. & Inv. Co.,",Land Companies:,,"234A 8th ave., E.","234A 8th ave., E., Calgary, Alberta, Canada",,
CALGARY,"Chad's R. E.,",Land Companies:,,7 Mackie blk.,"7 Mackie blk., Calgary, Alberta, Canada",,
CALGARY,"City Land Co.,",Land Companies:,,"231 8th ave., W.","231 8th ave., W., Calgary, Alberta, Canada",,
CALGARY,"A. G. Clarke & Co.,",Land Companies:,,"231A 8th ave., E.","231A 8th ave., E., Calgary, Alberta, Canada",,
CALGARY,"A. Collyns & Co.,",Land Companies:,,68 McDougall,"68 McDougall, Calgary, Alberta, Canada",51.0509071,-114.0385334
CALGARY,"C. J. Colville,",Land Companies:,,Blow blk.,"Blow blk., Calgary, Alberta, Canada",51.0410983,-114.0334287
CALGARY,"Colvin & Thorne,",Land Companies:,,6 Lineham blk.,"6 Lineham blk., Calgary, Alberta, Canada",,
CALGARY,"F. M. Compton,",Land Companies:,,4 McTavish blk.,"4 McTavish blk., Calgary, Alberta, Canada",,
CALGARY,"J. A. Connelly,",Land Companies:,,19 Elma blk.,"19 Elma blk., Calgary, Alberta, Canada",,
CALGARY,"C. W. Copp & Co.,",Land Companies:,,26 Elma blk.,"26 Elma blk., Calgary, Alberta, Canada",,
CALGARY,"Costello & Ryan,",Land Companies:,,"127 8th ave., W.","127 8th ave., W., Calgary, Alberta, Canada",,
CALGARY,"C. P. C. Co.,",Land Companies:,,206 L. & L. blk.,"206 L. & L. blk., Calgary, Alberta, Canada",,
CALGARY,"Crichton & Douglas,",Land Companies:,,Grain Exch. bldg.,"Grain Exch. bldg., Calgary, Alberta, Canada",,
CALGARY,"Crowe, Griffin & Crowe,",Land Companies:,,1 Alexander,"1 Alexander, Calgary, Alberta, Canada",,
CALGARY,"E. Culver,",Land Companies:,,813 Centre st.,"813 Centre st., Calgary, Alberta, Canada",,
CALGARY,"F. M. Curtis,",Land Companies:,,6 Caledonian blk.,"6 Caledonian blk., Calgary, Alberta, Canada",,
CALGARY,"P. J. Daly,",Land Companies:,,5 Alberta blk.,"5 Alberta blk., Calgary, Alberta, Canada",,
CALGARY,"F. Daniels & Co.,",Land Companies:,,4 Lineham blk.,"4 Lineham blk., Calgary, Alberta, Canada",,
CALGARY,"Davidson & Pae,",Land Companies:,,12 Aull blk.,"12 Aull blk., Calgary, Alberta, Canada",,
CALGARY,"J. C. Davis,",Land Companies:,,"127 8th ave., E.","127 8th ave., E., Calgary, Alberta, Canada",,
CALGARY,"Davis & O'Mara,",Land Companies:,,"710 1st st., E.","710 1st st., E., Calgary, Alberta, Canada",,
CALGARY,"E. DeBruyne,",Land Companies:,,19 Elma blk.,"19 Elma blk., Calgary, Alberta, Canada",,
CALGARY,"F. G. Denton,",Land Companies:,,604 L. & L. blk.,"604 L. & L. blk., Calgary, Alberta, Canada",,
CALGARY,"O. G. Devenish,",Land Companies:,,"813A 1st st., E.","813A 1st st., E., Calgary, Alberta, Canada",,
CALGARY,"D. J. Dewar & Co.,",Land Companies:,,5 Alexander cor.,"5 Alexander cor., Calgary, Alberta, Canada",,
CALGARY,"Diamond Land Co.,",Land Companies:,,31 Lineham blk.,"31 Lineham blk., Calgary, Alberta, Canada",,
CALGARY,"A. A. Dick,",Land Companies:,,36 Cadogan blk.,"36 Cadogan blk., Calgary, Alberta, Canada",,
CALGARY,"Dom. Co-oper. N. T. & Rlty. Co., Ltd.,",Land Companies:,,"114 9th ave., E.","114 9th ave., E., Calgary, Alberta, Canada",,
CALGARY,"Doughty & Co.,",Land Companies:,,1 Crown blk.,"1 Crown blk., Calgary, Alberta, Canada",,
CALGARY,"J. C. Dunlop,",Land Companies:,,"131 8th ave., W.","131 8th ave., W., Calgary, Alberta, Canada",,
CALGARY,"D. Dunnet,",Land Companies:,,"229A 8th ave., E.","229A 8th ave., E., Calgary, Alberta, Canada",,
CALGARY,"Dunsmoor & Robertson,",Land Companies:,,18 Thompson,"18 Thompson, Calgary, Alberta, Canada",,
CALGARY,"R. C. Eakins & Co.,",Land Companies:,,15 Alberta blk.,"15 Alberta blk., Calgary, Alberta, Canada",,
CALGARY,"Eccles & Co.,",Land Companies:,,17 Armstrong blk.,"17 Armstrong blk., Calgary, Alberta, Canada",,
CALGARY,"English & Freeze,",Land Companies:,,2 Temple bldg.,"2 Temple bldg., Calgary, Alberta, Canada",,
CALGARY,"Chas. A. Ennis,",Land Companies:,,"813 1st st., E.","813 1st st., E., Calgary, Alberta, Canada",,
CALGARY,"Eureka R. E. Co.,",Land Companies:,,"111 8th ave., W.","111 8th ave., W., Calgary, Alberta, Canada",,
CALGARY,"Excelsior R. E. Co.,",Land Companies:,,8 Victoria blk.,"8 Victoria blk., Calgary, Alberta, Canada",,
CALGARY,"Feilden & Royle,",Land Companies:,,509 L. & L. blk.,"509 L. & L. blk., Calgary, Alberta, Canada",,
CALGARY,"Fleeton & Asling,",Land Companies:,,6 Mackie blk.,"6 Mackie blk., Calgary, Alberta, Canada",,
