City,Company Name or Owners's Name,Company Type,building,address
CALGARY,"LOUGHEED, BENNETT, MCLAWS & CO.,",Attorney:,,Drawer 166
CALGARY,"BRITISH CANADIAN SECURITIES, Ltd.,",Real Estate:,,809 Center st.
CALGARY,"HAMMOND REALTY CO., Ltd.,",Real Estate:,,"130 9th ave., W."
CALGARY,"HUTTON TOWNSITE CO., Ltd.,",Real Estate:,,Leeson-Lineham Blk.
CALGARY,"LOWRY'S LIMITED,",Real Estate:,,"807 1st st., E."
CALGARY,"MacCULLOUGH & MCGILLIS LAND CO.,",Real Estate:,,815A Center st.
CALGARY,"MCINTYRE & MCINTYRE,",Real Estate:,,308 Leeson-Lineham blk.
CALGARY,"MacLAREN BROTHERS,",Real Estate:,,"cor. 9th ave. & 1st st., W."
CALGARY,"PYLE & CARLISLE,",Real Estate:,,"236 8th ave., W."
CALGARY,"D. A. SMITH & CO.,",Real Estate:,,"131A 8th ave., W."
CALGARY,"THE TREGILLUS LAND CO.,",Real Estate:,,"105A 8th ave., W."
CALGARY,G. S. WHITAKER,Real Estate:,,
CALGARY,"ARTHUR E. WILSON,",Real Estate:,,"105A 8th ave., W."
CALGARY,"Agencies Limited,",Real Estate:,,12 Clarence blk
CALGARY,"Alberta Loan & Inv. Co., Ltd.,",Real Estate:,,Blow blk.
CALGARY,"Alberta Locators,",Real Estate:,,"208 8th ave., E."
CALGARY,"James Aldrich,",Real Estate:,,24 Lineham blk.
CALGARY,"J. Harry Alexander,",Real Estate:,,Grain Exch.
CALGARY,"Alliance Inv. Co.,",Real Estate:,,"711 1st st., W."
CALGARY,"Anderson Inv. Co.,",Real Estate:,,209 Grain Exch.
CALGARY,Anderson Land Co.,Real Estate:,,
CALGARY,"Archer & Robertson,",Real Estate:,,Quebec Bk.
CALGARY,"Archibald & Gladwin,",Real Estate:,,9 Caledonian blk.
CALGARY,"B. H. Armstrong,",Real Estate:,,"814 2d st., E."
CALGARY,"Armstrong & McCallum Co.,",Real Estate:,,"135 8th ave., E."
CALGARY,"Astley & Shackle,",Real Estate:,,"205 8th ave., W."
CALGARY,"Athabaska Inv. Co.,",Real Estate:,,707 Centre st.
CALGARY,"Balfour, Anderson & Co.",Real Estate:,,
CALGARY,"Bourne & Clememtson,",Real Estate:,,16 McDougall
CALGARY,"J. Baker,",Real Estate:,,14 Crown blk.
