City,Company Name or Owners's Name,Company Type,building,address
EDMONTON,EDISON,Land Companies:,,
EDMONTON,Fulmer Covert,Land Companies:,,
EDMONTON,Harkness Coy,Land Companies:,,
EDMONTON,Fitzsimmons & Lawrence,Land Companies:,,
EDMONTON,Griggs & Andrews,Land Companies:,,
EDMONTON,J. H. Lloyd & Son,Land Companies:,,
EDMONTON,C. W. MacInnes,Land Companies:,,
EDMONTON,GARIEPY & GIROUX,Attorney:,Gariepy blk.,
EDMONTON,"ALBERTA DEVELOPMENT CORPORATION, Ltd.",Real Estate:,,635 First st.
EDMONTON,"ALLIANCE SECURITIES, LTD.",Real Estate:,,297 Jasper ave.
EDMONTON,R. J. FERGUSON,Real Estate:,,635 First st.
EDMONTON,CLIFFORD C. MITCHELL,Real Estate:,502 Tegler bldg.,
EDMONTON,A. QUIGLEY,Real Estate:,,228 Whyte ave.
EDMONTON,J. G. TIPTON & SONS,Real Estate:,,
EDMONTON,Alberta Agencies,Real Estate:,McDougall blk.,
EDMONTON,"Alberta Investments, Ltd.",Real Estate:,,118 McDougall ave.
EDMONTON,Alberta Loan & Inv. Co.,Real Estate:,,
EDMONTON,L. Arsemault & Co.,Real Estate:,,
EDMONTON,Athabasca Land Co.,Real Estate:,,648 1st st.
EDMONTON,Auld & Macfie,Real Estate:,,640 1st st.
EDMONTON,Barnes & Moore,Real Estate:,,"132 Jasper, W."
EDMONTON,B. F. Blackburn,Real Estate:,,"28 Jasper, E."
EDMONTON,Arthur Bloomer,Real Estate:,,"115 Jasper ave., W."
EDMONTON,U. S. Bolster,Real Estate:,,"118 Jasper, E."
EDMONTON,H. B. Boyes & Co.,Real Estate:,,"110 Jasper, W."
EDMONTON,Geo. T. Bragg,Real Estate:,,"121 Jasper, W."
EDMONTON,Canada Permant. Mortgage Corp.,Real Estate:,Imperial Bk bldg.,
EDMONTON,"Canadian Inv. Co., Ltd.",Real Estate:,,Jasper ave.
EDMONTON,Candy & Co.,Real Estate:,,"510 Jasper, E."
EDMONTON,J. P. Clinton,Real Estate:,,"612 1st st., N."
EDMONTON,"Consolidated Land & Machinery Co.,",Real Estate:,Moser-Ryder bldg.,
EDMONTON,"Crafts, Lee & Gallingers",Real Estate:,,"236 Jasper, E."
EDMONTON,J. C. Dickson,Real Estate:,,"118 Jasper, E."
EDMONTON,Dickson & Freeman,Real Estate:,,"209 Jasper, E."
EDMONTON,Edmonton Inv. Co.,Real Estate:,,649 1st st.
EDMONTON,"Edmonton Locaters, Ltd.",Real Estate:,,
EDMONTON,"Edmonton Securities Co., Ltd.",Real Estate:,,758 1st st.
EDMONTON,M. J. Fitzgerald,Real Estate:,,1162 1st st.
EDMONTON,Fitzsimons & Edwards,Real Estate:,,
EDMONTON,"Fort George & Fraser Valley Land Co.,",Real Estate:,,790 1st st.
EDMONTON,Foster Rlty. Co.,Real Estate:,,
EDMONTON,R. N. Frith & Co.,Real Estate:,,
EDMONTON,Gillespie & Hewgill,Real Estate:,,"57 Jasper ave., W."
EDMONTON,Allan R. Gillies,Real Estate:,,610 2nd st.
EDMONTON,D. J. Gilmurray,Real Estate:,,"40 Jasper, E."
EDMONTON,Great West Land Co.,Real Estate:,,"43 Jasper, E."
EDMONTON,Grierson & Irvine,Real Estate:,,49 Fraser
EDMONTON,Hager & Richardson,Real Estate:,,"39 Jasper, E."
EDMONTON,"Haggerty & Hall, Ltd.",Real Estate:,,797 1st st.
EDMONTON,F. G. Haldane:,Real Estate:,,"356 Jasper, E."
EDMONTON,"Harman, Scott & Co.",Real Estate:,,
EDMONTON,"International Finance Co., Ltd.",Real Estate:,,
EDMONTON,"St. Geo. Jellett,",Real Estate:,,"344 Jas., E."
EDMONTON,W. D. Jones & Son,Real Estate:,,"865 1st st., N."
EDMONTON,Kilgour & Little,Real Estate:,,"119 Jasper, W."
EDMONTON,Killen & Gilbert,Real Estate:,,546 First st.
EDMONTON,C. J. Kirk,Real Estate:,Windsor blk.,
EDMONTON,Land Titles Office,Real Estate:,,Victoria ave.
EDMONTON,Lane & Scarth,Real Estate:,,"42 Jasper, W."
EDMONTON,Larue & Picard,Real Estate:,,"248 Jasper, E."
EDMONTON,Lowe & Carpenter,Real Estate:,,"131 Jasper, W."
EDMONTON,F. C. Lowes & Co.,Real Estate:,,"28 Jasper, E."
EDMONTON,Lundy-McLeod Co.,Real Estate:,Garrieny blk.,
EDMONTON,McEachern Bros.,Real Estate:,,"324 Jasper, E."
EDMONTON,McGeorge & Chauvin,Real Estate:,,"113 Jasper, E."
