City,Company Name or Owners's Name,Company Type,building,address,full_address
EDMONTON,EDISON,Land Companies:,,,
EDMONTON,Fulmer Covert,Land Companies:,,,
EDMONTON,Harkness Coy,Land Companies:,,,
EDMONTON,Fitzsimmons & Lawrence,Land Companies:,,,
EDMONTON,Griggs & Andrews,Land Companies:,,,
EDMONTON,J. H. Lloyd & Son,Land Companies:,,,
EDMONTON,C. W. MacInnes,Land Companies:,,,
EDMONTON,GARIEPY & GIROUX,Attorney:,Gariepy blk.,,"Gariepy blk., Edmonton, Alberta, Canada"
EDMONTON,"ALBERTA DEVELOPMENT CORPORATION, Ltd.",Real Estate:,,635 First st.,"635 First st., Edmonton, Alberta, Canada"
EDMONTON,"ALLIANCE SECURITIES, LTD.",Real Estate:,,297 Jasper ave.,"297 Jasper ave., Edmonton, Alberta, Canada"
EDMONTON,R. J. FERGUSON,Real Estate:,,635 First st.,"635 First st., Edmonton, Alberta, Canada"
EDMONTON,CLIFFORD C. MITCHELL,Real Estate:,502 Tegler bldg.,,"502 Tegler bldg., Edmonton, Alberta, Canada"
EDMONTON,A. QUIGLEY,Real Estate:,,228 Whyte ave.,"228 Whyte ave., Edmonton, Alberta, Canada"
EDMONTON,J. G. TIPTON & SONS,Real Estate:,,,
EDMONTON,Alberta Agencies,Real Estate:,McDougall blk.,,"McDougall blk., Edmonton, Alberta, Canada"
EDMONTON,"Alberta Investments, Ltd.",Real Estate:,,118 McDougall ave.,"118 McDougall ave., Edmonton, Alberta, Canada"
EDMONTON,Alberta Loan & Inv. Co.,Real Estate:,,,
EDMONTON,L. Arsemault & Co.,Real Estate:,,,
EDMONTON,Athabasca Land Co.,Real Estate:,,648 1st st.,"648 1st st., Edmonton, Alberta, Canada"
EDMONTON,Auld & Macfie,Real Estate:,,640 1st st.,"640 1st st., Edmonton, Alberta, Canada"
EDMONTON,Barnes & Moore,Real Estate:,,"132 Jasper, W.","132 Jasper, W., Edmonton, Alberta, Canada"
EDMONTON,B. F. Blackburn,Real Estate:,,"28 Jasper, E.","28 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,Arthur Bloomer,Real Estate:,,"115 Jasper ave., W.","115 Jasper ave., W., Edmonton, Alberta, Canada"
EDMONTON,U. S. Bolster,Real Estate:,,"118 Jasper, E.","118 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,H. B. Boyes & Co.,Real Estate:,,"110 Jasper, W.","110 Jasper, W., Edmonton, Alberta, Canada"
EDMONTON,Geo. T. Bragg,Real Estate:,,"121 Jasper, W.","121 Jasper, W., Edmonton, Alberta, Canada"
EDMONTON,Canada Permant. Mortgage Corp.,Real Estate:,Imperial Bk bldg.,,"Imperial Bk bldg., Edmonton, Alberta, Canada"
EDMONTON,"Canadian Inv. Co., Ltd.",Real Estate:,,Jasper ave.,"Jasper ave., Edmonton, Alberta, Canada"
EDMONTON,Candy & Co.,Real Estate:,,"510 Jasper, E.","510 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,J. P. Clinton,Real Estate:,,"612 1st st., N.","612 1st st., N., Edmonton, Alberta, Canada"
EDMONTON,"Consolidated Land & Machinery Co.,",Real Estate:,Moser-Ryder bldg.,,"Moser-Ryder bldg., Edmonton, Alberta, Canada"
EDMONTON,"Crafts, Lee & Gallingers",Real Estate:,,"236 Jasper, E.","236 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,J. C. Dickson,Real Estate:,,"118 Jasper, E.","118 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,Dickson & Freeman,Real Estate:,,"209 Jasper, E.","209 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,Edmonton Inv. Co.,Real Estate:,,649 1st st.,"649 1st st., Edmonton, Alberta, Canada"
EDMONTON,"Edmonton Locaters, Ltd.",Real Estate:,,,
EDMONTON,"Edmonton Securities Co., Ltd.",Real Estate:,,758 1st st.,"758 1st st., Edmonton, Alberta, Canada"
EDMONTON,M. J. Fitzgerald,Real Estate:,,1162 1st st.,"1162 1st st., Edmonton, Alberta, Canada"
EDMONTON,Fitzsimons & Edwards,Real Estate:,,,
EDMONTON,"Fort George & Fraser Valley Land Co.,",Real Estate:,,790 1st st.,"790 1st st., Edmonton, Alberta, Canada"
EDMONTON,Foster Rlty. Co.,Real Estate:,,,
EDMONTON,R. N. Frith & Co.,Real Estate:,,,
EDMONTON,Gillespie & Hewgill,Real Estate:,,"57 Jasper ave., W.","57 Jasper ave., W., Edmonton, Alberta, Canada"
