City,Company Name or Owners's Name,Company Type,building,address
MONTREAL,"KAVANAGH, LAJOIE & LACOSTE",Attorney:,,7 Place d'Armes
MONTREAL,BERNIER & BERNIER,Real Estate:,,180 St. James
MONTREAL,"BRITISH CANADIAN SEC., Ltd.",Real Estate:,Quebec Bk. bldg.,
MONTREAL,THE CRADOCK-SIMPSON CO.,Real Estate:,,120 St. James
MONTREAL,P. A. DU BORD & CO.,Real Estate:,,315-6-8-9 Transportation bldg.
MONTREAL,L. P. FOURNIER,Real Estate:,,"60 Notre Dame, E."
MONTREAL,"INTERNATIONAL SECURITIES CO., Ltd.",Real Estate:,Yorkshire bldg.,
MONTREAL,W. J. KERR,Real Estate:,,
MONTREAL,GEO MARCIL & CO.,Real Estate:,,180 St. James st.
MONTREAL,A. E. Abbott,Real Estate:,,151 St. James
MONTREAL,Advance Rlty. Co.,Real Estate:,,4160 Sherbrooke
MONTREAL,C. Allard,Real Estate:,,1163 Wellington
MONTREAL,Amherst Park Land Co.,Real Estate:,,107 St. James
MONTREAL,F. S. Anderson,Real Estate:,,76 Victoria
MONTREAL,"Angus Park Land Co., Ltd.",Real Estate:,120 Bell Tel. bldg.,
MONTREAL,Annex Rlty. Co.,Real Estate:,,1925 Park ave.
MONTREAL,"G. H. Anson & Co., Ltd.",Real Estate:,,260 St. James
MONTREAL,"Anson & Prieur & Co., Ltd.",Real Estate:,,18 St. Alexis
MONTREAL,"Archambault, Freres & Co.",Real Estate:,,18 LaPatrie
MONTREAL,J. G. Avard,Real Estate:,,107 St. James
MONTREAL,G. W. Badgley,Real Estate:,,124 St. Peter
MONTREAL,"James Baillie, B.",Real Estate:,14 Bd. of Trade bldg.,
MONTREAL,E. L. Baugh & Co.,Real Estate:,,157 St. James
MONTREAL,J. P. Beaudoin,Real Estate:,,204 St. James
MONTREAL,P. Edouard Beaudry,Real Estate:,,66 St. James
MONTREAL,Raymond Beaudry,Real Estate:,,103 St. Frs. Xavier
MONTREAL,Beaudry Rlty. Co.,Real Estate:,,35 St. James
MONTREAL,J. Beauvais,Real Estate:,,1400 Notre Dame
MONTREAL,Alfred Benn,Real Estate:,,107 St. James
MONTREAL,Benoit Freres,Real Estate:,,20 St. James
MONTREAL,J. C. Bertrand,Real Estate:,,182 Quesnel
MONTREAL,Joseph A. Besner,Real Estate:,,516 St. Lawrence boul.
MONTREAL,P. Bilaudeau,Real Estate:,,"197 Notre Dame, E."
MONTREAL,Norman Binmore,Real Estate:,,908 E. Townships Bk.
MONTREAL,James Birchenough,Real Estate:,,410 Mer. Bk. bldg.
MONTREAL,C. R. Blache,Real Estate:,,"54 Notre Dame, E."
MONTREAL,Boileau & Denis,Real Estate:,,214 St. James
MONTREAL,W. Ernest Bolton,Real Estate:,,224 St. James
MONTREAL,J. O. Boudrias,Real Estate:,,757 Charlevoix
MONTREAL,Bourgault & Lalande,Real Estate:,,97 St. James
MONTREAL,Bousquet & Sarault,Real Estate:,,250 Amherst
MONTREAL,Paul Brisset des Nos.,Real Estate:,,16 St. James
MONTREAL,T. Girard,Real Estate:,,"360 St. Cath., E."
MONTREAL,Theophile Girouard,Real Estate:,,27 Labelle
MONTREAL,Godin & Racicot,Real Estate:,,502 St. Cath. E.
MONTREAL,A. Gohier & Cie,Real Estate:,,61 St. Gabriel
MONTREAL,R. Gohier & Fils,Real Estate:,,50 St. Lawrence bou.
MONTREAL,G. Goyer & Cie,Real Estate:,,1025 Laurier ave.
MONTREAL,B. Grandguillot,Real Estate:,,97 St. James
MONTREAL,Gravel & Ouimet,Real Estate:,,97 St. James
MONTREAL,"Greater Montreal Land Inv. Co., Ltd",Real Estate:,,
MONTREAL,"Greater Montreal, Rlty. & Inv. Co.,",Real Estate:,,35 St.
MONTREAL,R. M. Griffith,Real Estate:,50 Com. U. bldg.,
MONTREAL,Guttman R. E. & Ins. Agcy.,Real Estate:,,404 St.
MONTREAL,Andrew J. Halcro,Real Estate:,,233 St. James
MONTREAL,Cargill Hamilton & Co.,Real Estate:,,20 Koyal Tr. bld.
MONTREAL,W. T. Heney,Real Estate:,,128 St. Peter
MONTREAL,Louis Henry,Real Estate:,,52 St. James
MONTREAL,Home Rity. Co.,Real Estate:,,"1422 Notre Dame, W."
MONTREAL,A. W. D. Howell,Real Estate:,,212 St. James
MONTREAL,Hudonville Lands. Ltd.,Real Estate:,,107 St. James
MONTREAL,John Humble,Real Estate:,,1 Rielle Cote St. Paul
MONTREAL,Ideal Sav. Loan & Land Co.,Real Estate:,,290 St.
MONTREAL,Imperial Rlty. Co.,Real Estate:,,97 St. James
MONTREAL,O. Jasmin,Real Estate:,,99 St. James
MONTREAL,J. P. Jean,Real Estate:,,397 Nicolet
MONTREAL,"Johnson, Duclos & Dagenais",Real Estate:,,58 St.
MONTREAL,H. H. Jones,Real Estate:,,2084 St. James
MONTREAL,H. Joseph & Co.,Real Estate:,,16 St. Sacrament
MONTREAL,O. Jutras,Real Estate:,,1239 St. Hubert
MONTREAL,S. Kalmanovitch & Co.,Real Estate:,,127 Cherrier
MONTREAL,Terry M. King,Real Estate:,513 Power bldg.,
MONTREAL,A. Komaroff,Real Estate:,,"140 Prince, A. E."
MONTREAL,J. A. Laberge,Real Estate:,,"Monkland boul., N. D. De"
MONTREAL,Jos. & Fils Labonte,Real Estate:,,661 Ontario Mais
MONTREAL,LaCompagnie Generale d'Lmmeubles,Real Estate:,,16 St. James
MONTREAL,"LaCompagnie Mutuelle d'Inneubles Ltee,",Real Estate:,,"502 St. Cath., E."
MONTREAL,E. D. Ladouceur,Real Estate:,,2735 St. Hubert
MONTREAL,Laflamme & Dubord,Real Estate:,,97 St. James
MONTREAL,Thomas Lamb,Real Estate:,B12 Bd. of Trd. bldg.,
MONTREAL,Lands Limited,Real Estate:,,204 St. James
MONTREAL,Mendoza Langlois,Real Estate:,,62 St. James
MONTREAL,Latour & Guindon,Real Estate:,,"1202 Mt. Royal ave., E."
MONTREAL,Chas. Lebeau,Real Estate:,11 La Presse bldg.,
MONTREAL,Geo. L. LeBeau & Co.,Real Estate:,,22 St. John
MONTREAL,Theo & Maurice Lefebvre,Real Estate:,,50 St. Law.
MONTREAL,Lefebvre & Bemister,Real Estate:,,141 St. Peter
MONTREAL,J. B. D. Legare,Real Estate:,,11 St. James
MONTREAL,E. Lemieux,Real Estate:,,954 St. Denis
MONTREAL,"Menard Lepage, Ltd.",Real Estate:,,13 St. Lawrence
MONTREAL,H. T. Levy,Real Estate:,,36 St. Vincent
MONTREAL,Lewis & Badgley,Real Estate:,212 Merchants Bk. bld.,
MONTREAL,Liffton & Co.,Real Estate:,,180 St. James
MONTREAL,Thos. Ligget,Real Estate:,,55C Metcalfe
MONTREAL,Geo. R. Lighthall,Real Estate:,303 Quebec Bk. bldg.,
MONTREAL,A. & H. Lionais,Real Estate:,,42 Jacques Cartier sq.
MONTREAL,Longmore Rlty. Co.,Real Estate:,,55 University
MONTREAL,Mack Rlty. Co.,Real Estate:,,232 St. James
MONTREAL,Jno. MacLean & Co.,Real Estate:,,301 St. James
MONTREAL,C. A. & H. H. MacLeay,Real Estate:,,751 St. Cath..
MONTREAL,O. B. H. Maille,Real Estate:,,52 St. James
MONTREAL,Mainwaring & Houle,Real Estate:,,204 St. James
MONTREAL,E. J. F. Markgraf,Real Estate:,,180 St James
MONTREAL,Markgraf & Piche,Real Estate:,,180 St James
MONTREAL,Gilbert Martin & Co.,Real Estate:,,38 Notre Dame. E.
MONTREAL,Onezime Massicotte,Real Estate:,14 La Patrie bldg.,
MONTREAL,Damase Masson,Real Estate:,18 Royal Trust bldg.,
MONTREAL,Leon D. Masson,Real Estate:,18 Royal Trust bldg.,
MONTREAL,A. C. Matthews & Sons,Real Estate:,42 Com. Un. bld.,
MONTREAL,Messier & Remington,Real Estate:,,72 St. Gabriel
MONTREAL,Jos. Meunier,Real Estate:,,15 St. Lawrence boul
MONTREAL,Menuier Rity. Co.,Real Estate:,,502 St. Cath.. E.
MONTREAL,Alexander Michaud,Real Estate:,210 Quebec Bk. bld.,
MONTREAL,Simpson Co.,Real Estate:,205 St. James,
MONTREAL,H. M. Simpson,Real Estate:,40 Renouf bldg.,
MONTREAL,W. A. Snowdon,Real Estate:,213 Mchts. Bk. bldg.,
MONTREAL,South Shore Land Co.,Real Estate:,9 Hermine,
MONTREAL,J. Spear,Real Estate:,32 Mchts. Bk. bldg.,
MONTREAL,Starr & McLeod,Real Estate:,403 Lake of the Woods bldg.,
MONTREAL,A. A. Staunton,Real Estate:,1 Bd. of Trade bldg.,
MONTREAL,George W. Stephens,Real Estate:,18 St. Alexis,
MONTREAL,Sterling Inv. Co.,Real Estate:,127 Stanley,
MONTREAL,Martin Stuart,Real Estate:,36 Royal Trust bldg.,
MONTREAL,A. Talbot,Real Estate:,556 Frontenac,
MONTREAL,A. M. Taylor,Real Estate:,50 Merchants Bk. bldg.,
MONTREAL,Telfer & Osgood,Real Estate:,221 Coristine bldg.,
MONTREAL,Geo. Tetreau,Real Estate:,97 St. James,
MONTREAL,Tetreault-Ville Annex Co.,Real Estate:,59 St. Gabriel,
MONTREAL,Alaric Tourangeau,Real Estate:,"319 Mt. Royal av., E.",
MONTREAL,Z. Trudeau,Real Estate:,52 St. James,
MONTREAL,V. Trudel,Real Estate:,"33 Notre Dame, W.",
MONTREAL,Charles D. Tylee,Real Estate:,44 Royal Trust bldg.,
MONTREAL,Jean Versailles,Real Estate:,99 St. James,
MONTREAL,A. Viau & Co.,Real Estate:,21 St. James,
MONTREAL,Hector Viau,Real Estate:,74 St. James,
MONTREAL,H. R. N. Viau,Real Estate:,43 St. Gabriel,
MONTREAL,Henry Ward & Co.,Real Estate:,260 St. James,
MONTREAL,I. Weinfield,Real Estate:,55 University,
MONTREAL,West End Land Co.,Real Estate:,107 St. James,
