City,Company Name or Owners's Name,Company Type,building,address
OTTAWA,W. J. BEST,Real Estate:,,198 Bank st.
OTTAWA,A. G. Acres,Real Estate:,,81 Bank
OTTAWA,C. W. Bagley,Real Estate:,Canadian bldg.,
OTTAWA,Alex E. Bannerman,Real Estate:,Bank St. Cham.,
OTTAWA,Arthur A. Baylis,Real Estate:,Canadian Life bldg.,
OTTAWA,Beach & Argue,Real Estate:,,134 Bank
OTTAWA,Wesley Bick,Real Estate:,,138 Bank
OTTAWA,S. P. Bort & Son,Real Estate:,,224 Church
OTTAWA,J. G. Brisson,Real Estate:,,205 Dalhousie
OTTAWA,Browne & Gamble,Real Estate:,,178½ Bank
OTTAWA,J. P. Burke,Real Estate:,,162 Bank
OTTAWA,H. T. Burpee,Real Estate:,Castle bldg.,
OTTAWA,J. Y. Caldwell,Real Estate:,,99 Bank
OTTAWA,C. J. Carpenter,Real Estate:,,51 Sparks
OTTAWA,H. W. Chamberlin,Real Estate:,,191 Bank
OTTAWA,Leon Chartier,Real Estate:,,14 George
OTTAWA,D. Choquette & Co.,Real Estate:,,588 Sussex
OTTAWA,S. H. Coates,Real Estate:,,251 Bank
OTTAWA,A. G. Cowan,Real Estate:,,168 Bank
OTTAWA,D. G. Currell,Real Estate:,,15 Elgin
OTTAWA,S. Daniels,Real Estate:,,210 Bank
OTTAWA,Davidson & Hopper Bros.,Real Estate:,,133 Bank
OTTAWA,S. J. Davis & Son,Real Estate:,,416 Bank
OTTAWA,"Dewar, Stewart & Beach",Real Estate:,,100 Bank
OTTAWA,C. A. Douglas & Co.,Real Estate:,,95 Sparks
OTTAWA,"Frobel & McCourt, Gordon & Mutchmor",Real Estate:,,
OTTAWA,Jno. Gleeson,Real Estate:,,22 Central Chbrs.
OTTAWA,R. W. Grant,Real Estate:,,104 Sparks
OTTAWA,Graves & Brennan,Real Estate:,Castle bldg.,
OTTAWA,Imperial Realty Co.,Real Estate:,Can. bldg.,
OTTAWA,C. R. Johnson,Real Estate:,111 Bank,
OTTAWA,F. X. Laderoute,Real Estate:,85 Bank,
OTTAWA,Larmont & Welch,Real Estate:,,17½ Elgin
OTTAWA,Lebel & Leclerc,Real Estate:,,565 Sussex
OTTAWA,Eugene Lessard,Real Estate:,,26 Duke
OTTAWA,Daniel J. McA. Nulty,Real Estate:,,213 Sparks
OTTAWA,G. W. McCreary,Real Estate:,,164 Bank
OTTAWA,John McFarlane,Real Estate:,,120 Bank
OTTAWA,A. N. McLean,Real Estate:,,51 Sparks
OTTAWA,D. A. Martin & Son,Real Estate:,,Bank & Wellington
OTTAWA,J. C. Maxwell,Real Estate:,,179½ Bank
OTTAWA,J. A. N. Mercier,Real Estate:,,327 Dalhousie
OTTAWA,Morisset & Morisset,Real Estate:,,193 Sparks
OTTAWA,"National Rlty. Co., Ltd.",Real Estate:,,24 Sparks
OTTAWA,W. J. Naubert,Real Estate:,,137 George
OTTAWA,L. R. O'Connell,Real Estate:,,182 Bank
OTTAWA,D. O'Connor,Real Estate:,,67 Bank
OTTAWA,Ottawa Rlty. Co.,Real Estate:,,125½ Bank
OTTAWA,W. A. Pinard,Real Estate:,,389 Rideau
OTTAWA,N. D. Porter,Real Estate:,,79 Sparks
OTTAWA,"R. E. Sec. Co., Ltd.",Real Estate:,,Elgin & Frank
OTTAWA,"Rlty. & Ins. Co., Ltd.",Real Estate:,,225 Sparks
OTTAWA,V. V. Rogers,Real Estate:,,170 Sparks
OTTAWA,C. W. Ross,Real Estate:,,Richmond rd.
OTTAWA,J. Moffat Ross,Real Estate:,,49 Metcalfe
OTTAWA,St. Germain & Fraas,Real Estate:,,69 Bank
OTTAWA,Robt. A. Sibbitt,Real Estate:,,Bank & Albert sts.
OTTAWA,Elbert N. Soper,Real Estate:,,75 Sparks
OTTAWA,"Sovereign R. E. Co., Ltd.",Real Estate:,,78 Bank
OTTAWA,E. L. Stackhouse,Real Estate:,,51 Sparks
OTTAWA,A. A. Taillon,Real Estate:,,104 Sparks
OTTAWA,Tasse & Co.,Real Estate:,,43 Clarence
OTTAWA,W. H. Tate,Real Estate:,,279 Bank
OTTAWA,Geo. F. Thompson,Real Estate:,,129 Sparks
OTTAWA,J. C. Wilson,Real Estate:,,990 Wellington
OTTAWA,W. G. Wilson,Real Estate:,,1086 Wellington
OTTAWA,G. H. Woodburn,Real Estate:,,306½ Bank
