City,Company Name or Owners's Name,Company Type,building,address,full_address
OTTAWA,W. J. BEST,Real Estate:,,198 Bank st.,"198 Bank st., Ottawa, Ontario, Canada"
OTTAWA,A. G. Acres,Real Estate:,,81 Bank,"81 Bank, Ottawa, Ontario, Canada"
OTTAWA,C. W. Bagley,Real Estate:,Canadian bldg.,,"Canadian bldg., Ottawa, Ontario, Canada"
OTTAWA,Alex E. Bannerman,Real Estate:,Bank St. Cham.,,"Bank St. Cham., Ottawa, Ontario, Canada"
OTTAWA,Arthur A. Baylis,Real Estate:,Canadian Life bldg.,,"Canadian Life bldg., Ottawa, Ontario, Canada"
OTTAWA,Beach & Argue,Real Estate:,,134 Bank,"134 Bank, Ottawa, Ontario, Canada"
OTTAWA,Wesley Bick,Real Estate:,,138 Bank,"138 Bank, Ottawa, Ontario, Canada"
OTTAWA,S. P. Bort & Son,Real Estate:,,224 Church,"224 Church, Ottawa, Ontario, Canada"
OTTAWA,J. G. Brisson,Real Estate:,,205 Dalhousie,"205 Dalhousie, Ottawa, Ontario, Canada"
OTTAWA,Browne & Gamble,Real Estate:,,178½ Bank,"178½ Bank, Ottawa, Ontario, Canada"
OTTAWA,J. P. Burke,Real Estate:,,162 Bank,"162 Bank, Ottawa, Ontario, Canada"
OTTAWA,H. T. Burpee,Real Estate:,Castle bldg.,,"Castle bldg., Ottawa, Ontario, Canada"
OTTAWA,J. Y. Caldwell,Real Estate:,,99 Bank,"99 Bank, Ottawa, Ontario, Canada"
OTTAWA,C. J. Carpenter,Real Estate:,,51 Sparks,"51 Sparks, Ottawa, Ontario, Canada"
OTTAWA,H. W. Chamberlin,Real Estate:,,191 Bank,"191 Bank, Ottawa, Ontario, Canada"
OTTAWA,Leon Chartier,Real Estate:,,14 George,"14 George, Ottawa, Ontario, Canada"
OTTAWA,D. Choquette & Co.,Real Estate:,,588 Sussex,"588 Sussex, Ottawa, Ontario, Canada"
OTTAWA,S. H. Coates,Real Estate:,,251 Bank,"251 Bank, Ottawa, Ontario, Canada"
OTTAWA,A. G. Cowan,Real Estate:,,168 Bank,"168 Bank, Ottawa, Ontario, Canada"
OTTAWA,D. G. Currell,Real Estate:,,15 Elgin,"15 Elgin, Ottawa, Ontario, Canada"
OTTAWA,S. Daniels,Real Estate:,,210 Bank,"210 Bank, Ottawa, Ontario, Canada"
OTTAWA,Davidson & Hopper Bros.,Real Estate:,,133 Bank,"133 Bank, Ottawa, Ontario, Canada"
OTTAWA,S. J. Davis & Son,Real Estate:,,416 Bank,"416 Bank, Ottawa, Ontario, Canada"
OTTAWA,"Dewar, Stewart & Beach",Real Estate:,,100 Bank,"100 Bank, Ottawa, Ontario, Canada"
OTTAWA,C. A. Douglas & Co.,Real Estate:,,95 Sparks,"95 Sparks, Ottawa, Ontario, Canada"
OTTAWA,"Frobel & McCourt, Gordon & Mutchmor",Real Estate:,,,
OTTAWA,Jno. Gleeson,Real Estate:,,22 Central Chbrs.,"22 Central Chbrs., Ottawa, Ontario, Canada"
OTTAWA,R. W. Grant,Real Estate:,,104 Sparks,"104 Sparks, Ottawa, Ontario, Canada"
OTTAWA,Graves & Brennan,Real Estate:,Castle bldg.,,"Castle bldg., Ottawa, Ontario, Canada"
OTTAWA,Imperial Realty Co.,Real Estate:,Can. bldg.,,"Can. bldg., Ottawa, Ontario, Canada"
OTTAWA,C. R. Johnson,Real Estate:,111 Bank,,"111 Bank, Ottawa, Ontario, Canada"
OTTAWA,F. X. Laderoute,Real Estate:,85 Bank,,"85 Bank, Ottawa, Ontario, Canada"
OTTAWA,Larmont & Welch,Real Estate:,,17½ Elgin,"17½ Elgin, Ottawa, Ontario, Canada"
OTTAWA,Lebel & Leclerc,Real Estate:,,565 Sussex,"565 Sussex, Ottawa, Ontario, Canada"
OTTAWA,Eugene Lessard,Real Estate:,,26 Duke,"26 Duke, Ottawa, Ontario, Canada"
OTTAWA,Daniel J. McA. Nulty,Real Estate:,,213 Sparks,"213 Sparks, Ottawa, Ontario, Canada"
OTTAWA,G. W. McCreary,Real Estate:,,164 Bank,"164 Bank, Ottawa, Ontario, Canada"
OTTAWA,John McFarlane,Real Estate:,,120 Bank,"120 Bank, Ottawa, Ontario, Canada"
OTTAWA,A. N. McLean,Real Estate:,,51 Sparks,"51 Sparks, Ottawa, Ontario, Canada"
OTTAWA,D. A. Martin & Son,Real Estate:,,Bank & Wellington,"Bank & Wellington, Ottawa, Ontario, Canada"
OTTAWA,J. C. Maxwell,Real Estate:,,179½ Bank,"179½ Bank, Ottawa, Ontario, Canada"
OTTAWA,J. A. N. Mercier,Real Estate:,,327 Dalhousie,"327 Dalhousie, Ottawa, Ontario, Canada"
OTTAWA,Morisset & Morisset,Real Estate:,,193 Sparks,"193 Sparks, Ottawa, Ontario, Canada"
OTTAWA,"National Rlty. Co., Ltd.",Real Estate:,,24 Sparks,"24 Sparks, Ottawa, Ontario, Canada"
OTTAWA,W. J. Naubert,Real Estate:,,137 George,"137 George, Ottawa, Ontario, Canada"
OTTAWA,L. R. O'Connell,Real Estate:,,182 Bank,"182 Bank, Ottawa, Ontario, Canada"
OTTAWA,D. O'Connor,Real Estate:,,67 Bank,"67 Bank, Ottawa, Ontario, Canada"
OTTAWA,Ottawa Rlty. Co.,Real Estate:,,125½ Bank,"125½ Bank, Ottawa, Ontario, Canada"
OTTAWA,W. A. Pinard,Real Estate:,,389 Rideau,"389 Rideau, Ottawa, Ontario, Canada"
OTTAWA,N. D. Porter,Real Estate:,,79 Sparks,"79 Sparks, Ottawa, Ontario, Canada"
OTTAWA,"R. E. Sec. Co., Ltd.",Real Estate:,,Elgin & Frank,"Elgin & Frank, Ottawa, Ontario, Canada"
OTTAWA,"Rlty. & Ins. Co., Ltd.",Real Estate:,,225 Sparks,"225 Sparks, Ottawa, Ontario, Canada"
OTTAWA,V. V. Rogers,Real Estate:,,170 Sparks,"170 Sparks, Ottawa, Ontario, Canada"
OTTAWA,C. W. Ross,Real Estate:,,Richmond rd.,"Richmond rd., Ottawa, Ontario, Canada"
OTTAWA,J. Moffat Ross,Real Estate:,,49 Metcalfe,"49 Metcalfe, Ottawa, Ontario, Canada"
OTTAWA,St. Germain & Fraas,Real Estate:,,69 Bank,"69 Bank, Ottawa, Ontario, Canada"
OTTAWA,Robt. A. Sibbitt,Real Estate:,,Bank & Albert sts.,"Bank & Albert sts., Ottawa, Ontario, Canada"
OTTAWA,Elbert N. Soper,Real Estate:,,75 Sparks,"75 Sparks, Ottawa, Ontario, Canada"
OTTAWA,"Sovereign R. E. Co., Ltd.",Real Estate:,,78 Bank,"78 Bank, Ottawa, Ontario, Canada"
OTTAWA,E. L. Stackhouse,Real Estate:,,51 Sparks,"51 Sparks, Ottawa, Ontario, Canada"
OTTAWA,A. A. Taillon,Real Estate:,,104 Sparks,"104 Sparks, Ottawa, Ontario, Canada"
OTTAWA,Tasse & Co.,Real Estate:,,43 Clarence,"43 Clarence, Ottawa, Ontario, Canada"
OTTAWA,W. H. Tate,Real Estate:,,279 Bank,"279 Bank, Ottawa, Ontario, Canada"
OTTAWA,Geo. F. Thompson,Real Estate:,,129 Sparks,"129 Sparks, Ottawa, Ontario, Canada"
OTTAWA,J. C. Wilson,Real Estate:,,990 Wellington,"990 Wellington, Ottawa, Ontario, Canada"
OTTAWA,W. G. Wilson,Real Estate:,,1086 Wellington,"1086 Wellington, Ottawa, Ontario, Canada"
OTTAWA,G. H. Woodburn,Real Estate:,,306½ Bank,"306½ Bank, Ottawa, Ontario, Canada"
