City,Company Name or Owners's Name,Company Type,building,address,full_address
TORONTO,"JOHNSTON, MCKAY, DODS & GRANT",Attorney:,Traders Bank bldg.,,"Traders Bank bldg., Toronto, Ontario, Canada"
TORONTO,COPELAND & FAIRBAIRN,Real Estate:,,18 Adelaide,"18 Adelaide, Toronto, Ontario, Canada"
TORONTO,GIBSON BROTHERS,Real Estate:,,7 Toronto,"7 Toronto, Toronto, Ontario, Canada"
TORONTO,W. J. KERR,Real Estate:,,734½ Queen E.,"734½ Queen E., Toronto, Ontario, Canada"
TORONTO,H. K. MACKENZIE,Real Estate:,,,
TORONTO,S. J. MURPHY & CO.,Real Estate:,Kent bldg.,,"Kent bldg., Toronto, Ontario, Canada"
TORONTO,THOS. W. MURRAY,Real Estate:,,43 Victoria st.,"43 Victoria st., Toronto, Ontario, Canada"
TORONTO,"THE S. S. NESBITT CO., Ltd.",Real Estate:,,34 Victoria st.,"34 Victoria st., Toronto, Ontario, Canada"
TORONTO,A. L. NOVERRE,Real Estate:,,18 Toronto st.,"18 Toronto st., Toronto, Ontario, Canada"
TORONTO,HARTON WALKER,Real Estate:,,20 Toronto st.,"20 Toronto st., Toronto, Ontario, Canada"
TORONTO,Chas. W. Abrey,Real Estate:,,12 Webster ave.,"12 Webster ave., Toronto, Ontario, Canada"
TORONTO,G. S. Abrey,Real Estate:,,606 Indian rd.,"606 Indian rd., Toronto, Ontario, Canada"
TORONTO,J. H. Archer & Son,Real Estate:,,744 Broadview ave.,"744 Broadview ave., Toronto, Ontario, Canada"
TORONTO,Wm. Archibald,Real Estate:,,258 St. Patrick,"258 St. Patrick, Toronto, Ontario, Canada"
TORONTO,Arthur Ardagh,Real Estate:,Lanes bldg.,,"Lanes bldg., Toronto, Ontario, Canada"
TORONTO,R. F. Argles & Co.,Real Estate:,Lumsden bldg.,,"Lumsden bldg., Toronto, Ontario, Canada"
TORONTO,Armstrong & Cook,Real Estate:,Confed. Life bldg.,,"Confed. Life bldg., Toronto, Ontario, Canada"
TORONTO,James Arnold,Real Estate:,,77 Victoria,"77 Victoria, Toronto, Ontario, Canada"
TORONTO,Baily & Co.,Real Estate:,,21 Adelaide E.,"21 Adelaide E., Toronto, Ontario, Canada"
TORONTO,A. Barton & Co.,Real Estate:,,275 College,"275 College, Toronto, Ontario, Canada"
TORONTO,Beaches Rlty. Co.,Real Estate:,,18 Kingswood rd.,"18 Kingswood rd., Toronto, Ontario, Canada"
TORONTO,G. A. Beaumont,Real Estate:,,937 Bloor W.,"937 Bloor W., Toronto, Ontario, Canada"
TORONTO,Robert Bell,Real Estate:,Traders Bank bldg.,,"Traders Bank bldg., Toronto, Ontario, Canada"
TORONTO,T. H. Bell,Real Estate:,Manning Chbrs.,,"Manning Chbrs., Toronto, Ontario, Canada"
TORONTO,Benner Estate,Real Estate:,,289 College,"289 College, Toronto, Ontario, Canada"
TORONTO,"""Bently""",Real Estate:,,34 Victoria,"34 Victoria, Toronto, Ontario, Canada"
TORONTO,E. Bergland,Real Estate:,,854 Bloor W.,"854 Bloor W., Toronto, Ontario, Canada"
TORONTO,L. W. Bick,Real Estate:,Kent bldg.,,"Kent bldg., Toronto, Ontario, Canada"
TORONTO,W. R. Bird & Co.,Real Estate:,McKinnon bldg.,,"McKinnon bldg., Toronto, Ontario, Canada"
TORONTO,S. W. Black & Co.,Real Estate:,,28 Toronto,"28 Toronto, Toronto, Ontario, Canada"
