City,Company Name or Owners's Name,Company Type,building,address,full_address,Lat,Lon
TORONTO,"JOHNSTON, MCKAY, DODS & GRANT",Attorney:,Traders Bank bldg.,,"Traders Bank bldg., Toronto, Ontario, Canada",,
TORONTO,COPELAND & FAIRBAIRN,Real Estate:,,18 Adelaide,"18 Adelaide, Toronto, Ontario, Canada",43.6507235,-79.377482
TORONTO,GIBSON BROTHERS,Real Estate:,,7 Toronto,"7 Toronto, Toronto, Ontario, Canada",43.6640011,-79.3951925
TORONTO,W. J. KERR,Real Estate:,,734½ Queen E.,"734½ Queen E., Toronto, Ontario, Canada",,
TORONTO,H. K. MACKENZIE,Real Estate:,,,,,
TORONTO,S. J. MURPHY & CO.,Real Estate:,Kent bldg.,,"Kent bldg., Toronto, Ontario, Canada",,
TORONTO,THOS. W. MURRAY,Real Estate:,,43 Victoria st.,"43 Victoria st., Toronto, Ontario, Canada",43.650573,-79.377096
TORONTO,"THE S. S. NESBITT CO., Ltd.",Real Estate:,,34 Victoria st.,"34 Victoria st., Toronto, Ontario, Canada",43.650089,-79.3771646
TORONTO,A. L. NOVERRE,Real Estate:,,18 Toronto st.,"18 Toronto st., Toronto, Ontario, Canada",43.6495506,-79.377
TORONTO,HARTON WALKER,Real Estate:,,20 Toronto st.,"20 Toronto st., Toronto, Ontario, Canada",43.650343,-79.376437
TORONTO,Chas. W. Abrey,Real Estate:,,12 Webster ave.,"12 Webster ave., Toronto, Ontario, Canada",43.6739667,-79.3949051
TORONTO,G. S. Abrey,Real Estate:,,606 Indian rd.,"606 Indian rd., Toronto, Ontario, Canada",43.6588447,-79.4573875
TORONTO,J. H. Archer & Son,Real Estate:,,744 Broadview ave.,"744 Broadview ave., Toronto, Ontario, Canada",43.6756175,-79.3585665
TORONTO,Wm. Archibald,Real Estate:,,258 St. Patrick,"258 St. Patrick, Toronto, Ontario, Canada",43.654659,-79.390384
TORONTO,Arthur Ardagh,Real Estate:,Lanes bldg.,,"Lanes bldg., Toronto, Ontario, Canada",,
TORONTO,R. F. Argles & Co.,Real Estate:,Lumsden bldg.,,"Lumsden bldg., Toronto, Ontario, Canada",43.6507941,-79.3782575
TORONTO,Armstrong & Cook,Real Estate:,Confed. Life bldg.,,"Confed. Life bldg., Toronto, Ontario, Canada",,
TORONTO,James Arnold,Real Estate:,,77 Victoria,"77 Victoria, Toronto, Ontario, Canada",43.7734578,-79.8782377
TORONTO,Baily & Co.,Real Estate:,,21 Adelaide E.,"21 Adelaide E., Toronto, Ontario, Canada",43.65047,-79.377761
TORONTO,A. Barton & Co.,Real Estate:,,275 College,"275 College, Toronto, Ontario, Canada",,
TORONTO,Beaches Rlty. Co.,Real Estate:,,18 Kingswood rd.,"18 Kingswood rd., Toronto, Ontario, Canada",43.6742755,-79.2834801
TORONTO,G. A. Beaumont,Real Estate:,,937 Bloor W.,"937 Bloor W., Toronto, Ontario, Canada",43.6614172,-79.4276129
TORONTO,Robert Bell,Real Estate:,Traders Bank bldg.,,"Traders Bank bldg., Toronto, Ontario, Canada",,
TORONTO,T. H. Bell,Real Estate:,Manning Chbrs.,,"Manning Chbrs., Toronto, Ontario, Canada",,
TORONTO,Benner Estate,Real Estate:,,289 College,"289 College, Toronto, Ontario, Canada",,
TORONTO,"""Bently""",Real Estate:,,34 Victoria,"34 Victoria, Toronto, Ontario, Canada",43.7734578,-79.8782377
TORONTO,E. Bergland,Real Estate:,,854 Bloor W.,"854 Bloor W., Toronto, Ontario, Canada",43.662418,-79.4242523
TORONTO,L. W. Bick,Real Estate:,Kent bldg.,,"Kent bldg., Toronto, Ontario, Canada",,
TORONTO,W. R. Bird & Co.,Real Estate:,McKinnon bldg.,,"McKinnon bldg., Toronto, Ontario, Canada",,
TORONTO,S. W. Black & Co.,Real Estate:,,28 Toronto,"28 Toronto, Toronto, Ontario, Canada",43.6504123,-79.3764161
TORONTO,M. E. Blumhart & Co.,Real Estate:,,712 College,"712 College, Toronto, Ontario, Canada",,
TORONTO,A. A. Boggs & Co.,Real Estate:,,649 College,"649 College, Toronto, Ontario, Canada",,
TORONTO,J. J. Borebank,Real Estate:,Quebec Bank bldg.,,"Quebec Bank bldg., Toronto, Ontario, Canada",,
TORONTO,N. S. Boyd & Co.,Real Estate:,,84 Victoria,"84 Victoria, Toronto, Ontario, Canada",43.7734578,-79.8782377
TORONTO,J. H. Booyle,Real Estate:,,Yonge arc.,"Yonge arc., Toronto, Ontario, Canada",,
TORONTO,Jas. Brandon,Real Estate:,,23 Toronto,"23 Toronto, Toronto, Ontario, Canada",43.7606815,-79.4086456
TORONTO,Wm. Brant,Real Estate:,,120 Christie,"120 Christie, Toronto, Ontario, Canada",43.666702,-79.419861
TORONTO,R. T. Brown & Son,Real Estate:,,66 Victoria,"66 Victoria, Toronto, Ontario, Canada",43.7734578,-79.8782377
TORONTO,Wm. J. Brown,Real Estate:,,43 Victoria,"43 Victoria, Toronto, Ontario, Canada",43.7734578,-79.8782377
TORONTO,Bryant & Gregson,Real Estate:,,560 Bloor W.,"560 Bloor W., Toronto, Ontario, Canada",43.6651912,-79.4115214
TORONTO,H. G. Buckland,Real Estate:,,32 Adelaide E.,"32 Adelaide E., Toronto, Ontario, Canada",43.6508093,-79.377086
TORONTO,Burk & Co.,Real Estate:,,28 Toronto,"28 Toronto, Toronto, Ontario, Canada",43.6504123,-79.3764161
TORONTO,Burnand & Spain,Real Estate:,,63 Victoria,"63 Victoria, Toronto, Ontario, Canada",43.7734578,-79.8782377
TORONTO,E. W. D. Butler,Real Estate:,,43 Adelaide,"43 Adelaide, Toronto, Ontario, Canada",43.6507559,-79.3799778
TORONTO,Fred Campbell,Real Estate:,,387 Dupont,"387 Dupont, Toronto, Ontario, Canada",43.6708789,-79.4252796
TORONTO,William Campbell,Real Estate:,,546 Spadina ave.,"546 Spadina ave., Toronto, Ontario, Canada",43.6561731,-79.3994395
TORONTO,Canada Co.,Real Estate:,,1170 Yonge,"1170 Yonge, Toronto, Ontario, Canada",43.6804706,-79.3911344
TORONTO,Canada Landed & National Inv. Co.,Real Estate:,,23,"23, Toronto, Ontario, Canada",43.7606815,-79.4086456
TORONTO,"Canada Sec. Corp., Ltd.",Real Estate:,McKinnon bldg.,,"McKinnon bldg., Toronto, Ontario, Canada",,
TORONTO,Canadian Business Exch.,Real Estate:,,43 Victoria,"43 Victoria, Toronto, Ontario, Canada",43.7734578,-79.8782377
TORONTO,"Canadian Land & Sec. Co., Ltd.",Real Estate:,Kent bldg.,,"Kent bldg., Toronto, Ontario, Canada",,
TORONTO,"Canadian Pac. Ry. Lands, Traders Bk.",Real Estate:,,,,,
TORONTO,Caplin & Stoddart,Real Estate:,,Yonge arc.,"Yonge arc., Toronto, Ontario, Canada",,
TORONTO,Martin Carpenter,Real Estate:,,311 Spadina ave.,"311 Spadina ave., Toronto, Ontario, Canada",43.6538567,-79.3980885
TORONTO,Henry Carter Co.,Real Estate:,,805 Bathurst,"805 Bathurst, Toronto, Ontario, Canada",43.7691519,-79.4597007
TORONTO,"G. A. Case, Ltd.",Real Estate:,,7 Toronto,"7 Toronto, Toronto, Ontario, Canada",43.6640011,-79.3951925
TORONTO,A. Cash,Real Estate:,,7 Kensington ave.,"7 Kensington ave., Toronto, Ontario, Canada",43.7788421,-79.4205563
TORONTO,J. N. Caswell,Real Estate:,Cont. Life bldg.,,"Cont. Life bldg., Toronto, Ontario, Canada",,
