City,Company Name or Owners's Name,Company Type,building,address
VANCOUVER,FRANK R. ADAMS,Abstracts:,,"525 Pender st., W."
VANCOUVER,LOUIS ALEXANDER,Abstracts:,807-8 Dom. Tr.,
VANCOUVER,J. ALMOURE AGENCY,Abstracts:,,
VANCOUVER,"BEVAN, GORE & ELIOT, Ltd.",Abstracts:,505 Metropolitan bldg.,
VANCOUVER,DAVID B. BOYD,Abstracts:,6 Winch bldg.,
VANCOUVER,C. O. BRADSHAW,Abstracts:,610 Dom. Tr. bldg.,
VANCOUVER,"BRITISH CANADIAN SECURITIES, Ltd.",Abstracts:,Dominion Trust bldg.,
VANCOUVER,BUNGALOW CONSTRUCTION ASS'N,Real Estate:,,416 Howe st.
VANCOUVER,G. A. COULDERY,Real Estate:,,26th & Fraser
VANCOUVER,THE DAVIDSON INVESTMENT CO.,Real Estate:,508 Pacific bldg.,
VANCOUVER,"DOMINION STOCK & BOND CORP., Ltd.",Real Estate:,739 Hastings W.,
VANCOUVER,"EDSON TOWNSITE CO., Ltd.",Real Estate:,"47 Hastings st., W.",
VANCOUVER,H. FORD,Real Estate:,315 Dom. Trust bldg.,
VANCOUVER,"FORTY ACRE FARMS, Ltd.",Real Estate:,110 Pacific bldg.,
VANCOUVER,WALTER J. HOLDOM,Real Estate:,,"1697 Hastings st., E."
VANCOUVER,"INTERNATIONAL SECURITY CO., Ltd.",Real Estate:,Dominion Trust bldg.,
VANCOUVER,"ISLAND INVESTMENT CO., Ltd.",Real Estate:,,
VANCOUVER,"W. J. KERR, Ltd.",Real Estate:,,
VANCOUVER,"THE LOCATORS, Ltd.",Real Estate:,,
VANCOUVER,LOUGHEED & CO.,Real Estate:,,2343 Main st.
VANCOUVER,"MANITOBA LOAN & INVESTMENT CO., Ltd.",Real Estate:,Dominion Trust,
VANCOUVER,G. ED PIERROT,Real Estate:,160 Bwdy. East,
VANCOUVER,PIERROT & ELLIOTT,Real Estate:,160 Bdwy.,
VANCOUVER,PORT OF MANN LAND & INV. CO.,Real Estate:,807-808 Dom. Trust bldg.,
VANCOUVER,C. D. RAND,Real Estate:,"505 Hastings st., W.",
VANCOUVER,E. H. ROOME,Real Estate:,"439 Pender st., W.",
VANCOUVER,"STANDARD SECURITIES, Ltd.",Real Estate:,Pacific bldg.,
VANCOUVER,"J. C. THORN & CO., Ltd.",Real Estate:,312-3 Metropolitan bldg.,
VANCOUVER,"F. N. TRITES CO., Ltd.",Real Estate:,359 Granville st.,
VANCOUVER,"VANCOUVER ISLAND FRUIT & FARM LAND CO., Ltd.",Real Estate:,315 Dom. Tr. bldg.,
VANCOUVER,WATSON & BOWEN,Real Estate:,707 Bk. of Ottawa bldg.,
