City,Company Name or Owners's Name,Company Type,building,address
VICTORIA,J. ALMOURE AGENCY,Real Estate:,,325 Pemberton blk.
VICTORIA,"ISLAND INVESTMENT CO., Ltd.",Real Estate:,Sayward bldg.,
VICTORIA,PATRICK REALTY CO.,Real Estate:,,645 Fort St.
VICTORIA,PEMBERTON & SON,Land Companies:,Pemberton bldg.,
VICTORIA,B. C. Land Surveyors Corp. Co.,Land Companies:,,326 Pemberton blk.
VICTORIA,P. C. Coates,Land Companies:,,34 Board of Trade
VICTORIA,J. H. Gray & Milligan Bros.,Land Companies:,,522 Fort
VICTORIA,Swannell & Noakes,Land Companies:,,1219 Langley
VICTORIA,"Alvo V. Alvesleben, Ltd.",Real Estate:,,636 View
VICTORIA,Bagshawe & Co.,Real Estate:,,1216 Broad st.
VICTORIA,H. J. Bayly,Real Estate:,,301 Times bldg.
VICTORIA,B. C. Land & Inv. Agcy.,Real Estate:,,922 Governm't
VICTORIA,"B. C. Electric Ry. Co., Ltd., Land Dept.",Real Estate:,,1016 Langley
VICTORIA,"Bell Dev. Co., Ltd.",Real Estate:,,110 Pemberton blk.
VICTORIA,Betterton & Jones,Real Estate:,,1006 Government
VICTORIA,L. W. Bick,Real Estate:,,1104 Broad st.
VICTORIA,Bigham & Co.,Real Estate:,,1303 Broad
VICTORIA,O. H. Bowman & Co.,Real Estate:,,84 Mahon blk.
VICTORIA,Ernest Brammer,Real Estate:,,103 Pemberton bld.
VICTORIA,A. J. W. Bridgman,Real Estate:,,1007 Government
VICTORIA,P. R. Brown,Real Estate:,,1130 Broad
VICTORIA,George M. Davis,Real Estate:,219 Pemberton bldg.,
VICTORIA,R. S. Day,Real Estate:,,620 Fort
VICTORIA,John Dean,Real Estate:,,1304 Government
VICTORIA,Dougal & McMorran,Real Estate:,4 Mahon blk.,
VICTORIA,R. L. Drury,Real Estate:,,918 Government
VICTORIA,Wm. Dunford & Son,Real Estate:,233 Pemberton blk.,
VICTORIA,Edson Townsite Co.,Real Estate:,,1204 Douglas
VICTORIA,J. G. Elliott,Real Estate:,,22 Green blk.
VICTORIA,Empire Realty Co.,Real Estate:,,641 Fort
VICTORIA,Esquimalt Realty Co.,Real Estate:,,Cor. Esquimalt &
VICTORIA,Exchange R. E. Co.,Real Estate:,,718 Fort st.
VICTORIA,C. P. Fegan & Co.,Real Estate:,6 Mahon blk.,
VICTORIA,R. R. Fleming,Real Estate:,,634 View
VICTORIA,Gillespie & Hart,Real Estate:,,1115 Langley
VICTORIA,A. Gilson,Real Estate:,,704 Yates st.
VICTORIA,Gourlay & Kent,Real Estate:,Green blk.,
VICTORIA,Grant & Lineham,Real Estate:,,633 Yates
VICTORIA,J. Herbert Gray,Real Estate:,McCallum blk.,
VICTORIA,Great West Permanent L. & Savs. Co.,Real Estate:,,1206 Government
VICTORIA,Green & Burdick Bros.,Real Estate:,,Langley &
VICTORIA,Greenwood & Mitchell,Real Estate:,,575 Yates
VICTORIA,Griffith Co.,Real Estate:,11 Mahon blk.,
VICTORIA,W. Wallace Grime,Real Estate:,,522 Fort
VICTORIA,Grubb & Letts,Real Estate:,,Broad st.
VICTORIA,Z. M. Hamilton & G.,Real Estate:,,"Forester, 202"
VICTORIA,Harlow & Johns,Real Estate:,,707½ Yates
VICTORIA,Hart & Gillespie,Real Estate:,,1115 Langley
VICTORIA,Heath & Chaney,Real Estate:,7 Lee blk.,
VICTORIA,Heister Forman Co.,Real Estate:,,1212 Broad
VICTORIA,E. Henderson,Real Estate:,,711 Yates
VICTORIA,E. F. Hill & Co.,Real Estate:,16 Mahon blk.,
VICTORIA,Holt's R. E. & Transfer Co.,Real Estate:,,1303 Broad
VICTORIA,"Howell, Payne & Co.",Real Estate:,,1219 Langley
VICTORIA,Mitchell Innes,Real Estate:,3 & 4 Green blk.,
VICTORIA,Island Inv. Co.,Real Estate:,548 Bastion,
VICTORIA,Jalland Bros.,Real Estate:,,622 Johnson
VICTORIA,E. M. Johnson,Real Estate:,,616 Broughton
VICTORIA,"A. W. Jones, Ltd.",Real Estate:,,1012 Broad
VICTORIA,Fred Leaver,Real Estate:,,738 Fort st.
VICTORIA,Lee & Fraser,Real Estate:,,1222 Broad st.
VICTORIA,"Leeming Bros., Ltd.",Real Estate:,,524 Fort
VICTORIA,G. S. Leighton,Real Estate:,,725 Fort
VICTORIA,"LeSeuer, Hill & Co., Ltd.",Real Estate:,McCallum blk.,
VICTORIA,Herb. S. Lott & Co.,Real Estate:,,119 Pemberton blk.
VICTORIA,A. MacKenzie,Real Estate:,,16 Green blk.
VICTORIA,Macmillian & Olephant,Real Estate:,,Hastings &
VICTORIA,T. P. McConnell,Real Estate:,404 Pemberton blk.,
VICTORIA,J. McGregor,Real Estate:,,1107 Langly St. S.
VICTORIA,Capt. D. McIntosh,Real Estate:,12 Mahon bldg.,
VICTORIA,McKenzie & Russell,Real Estate:,,417 Pemberton blk.
VICTORIA,McPherson & Fullerton Bros.,Real Estate:,,Trounce ave.
VICTORIA,H. E. Maddock,Real Estate:,209 Pemberton bldg.,
VICTORIA,Marriott & Fellows,Real Estate:,,1212 Douglas
VICTORIA,S. & H. Martin,Real Estate:,210 Pemberton blk.,
VICTORIA,F. E. Mitchell & Co.,Real Estate:,,1214 Government
VICTORIA,Mitchell & Greenwood,Real Estate:,,575 Yates
VICTORIA,Monk & Monteith,Real Estate:,,639 Fort
VICTORIA,Moore & Johnston,Real Estate:,,632 Yates st.
VICTORIA,Jas. R. Motion,Real Estate:,,
VICTORIA,C. B. Munro,Real Estate:,,1414 Douglas
VICTORIA,J. S. Murray,Real Estate:,403 Pemberton blk.,
VICTORIA,National Realty Co.,Real Estate:,,1232 Government
VICTORIA,Nechaco Valley Land Co.,Real Estate:,,"Ltd., 620"
VICTORIA,Broughton,Real Estate:,,
VICTORIA,Northwest R. E. Co.,Real Estate:,,706 Yates
VICTORIA,P. E. Nyland,Real Estate:,McGregor blk.,
VICTORIA,Oak Bay Realty Co.,Real Estate:,,2056 Oak Bay ave.
VICTORIA,Patterson & Wise,Real Estate:,109 Pemberton blk.,
VICTORIA,C. C. Pemberton & P. R. Blaikie,Real Estate:,,707½
VICTORIA,Yates,Real Estate:,,
VICTORIA,W. E. Pidcock,Real Estate:,131 Pemberton blk.,
VICTORIA,Plummer & Rideout,Real Estate:,118 Pemberton blk.,
VICTORIA,F. G. Porteous,Real Estate:,,710 Yates
VICTORIA,A. G. Howard Potts,Real Estate:,112 Pemberton bld.,
VICTORIA,R. B. Punnett,Real Estate:,10 Mahon blk.,
VICTORIA,Provincial Lands Dept.,Real Estate:,,
VICTORIA,Queen City Realty,Real Estate:,,1413 Douglas
VICTORIA,Thos. Redding,Real Estate:,,816 Catherine
VICTORIA,Ritchie & Gusty,Real Estate:,,1304 Douglas
VICTORIA,"Rogers & Co., Ltd.",Real Estate:,Times bldg.,
VICTORIA,E. B. L. Rogerson,Real Estate:,,622 Johnson
VICTORIA,Royal Realty Co.,Real Estate:,,1216 Broad st.
VICTORIA,Russell & Gregg,Real Estate:,207 Pemberton blk.,
VICTORIA,Ryan & Lang,Real Estate:,,1007 Government
VICTORIA,Scottish Realty Co.,Real Estate:,,707½ Yates st.
VICTORIA,Shaw R. E. Co.,Real Estate:,302 Pemberton blk.,
VICTORIA,A. R. Sherwood,Real Estate:,,1236 Government st.
VICTORIA,"Stewart Land Co., Ltd.",Real Estate:,101 Pembert'n blk,
VICTORIA,"Stuart, Morrison & Reeves",Real Estate:,,Fort &
VICTORIA,Douglas,Real Estate:,,
VICTORIA,Swinerton & Musgrave,Real Estate:,,1206 Government
VICTORIA,A. Toller & Co.,Real Estate:,Imp. Bk. Cham.,
VICTORIA,"Tracksell, Anderson & Co.",Real Estate:,,1210 Broad
VICTORIA,John A. Turner,Real Estate:,201 Times bldg.,
VICTORIA,"Victoria Bldg. & Inv. Co., Ltd.",Real Estate:,,1212
VICTORIA,Douglas,Real Estate:,,
VICTORIA,Victoria Mortg. & Tr. Co.,Real Estate:,,635 Fort
VICTORIA,J. T. Wagner & Co.,Real Estate:,,630 Johnson
VICTORIA,Warner & Irwin,Real Estate:,,719 Yates
VICTORIA,Welch Bros. & Co.,Real Estate:,1006 Government,
