City,Company Name or Owners's Name,Company Type,building,address,full_address,Lat,Lon
VICTORIA,J. ALMOURE AGENCY,Real Estate:,,325 Pemberton blk.,"325 Pemberton blk., Victoria, British Columbia, Canada",,
VICTORIA,"ISLAND INVESTMENT CO., Ltd.",Real Estate:,Sayward bldg.,,"Sayward bldg., Victoria, British Columbia, Canada",48.4256186,-123.364715
VICTORIA,PATRICK REALTY CO.,Real Estate:,,645 Fort St.,"645 Fort St., Victoria, British Columbia, Canada",48.4246783,-123.3666869
VICTORIA,PEMBERTON & SON,Land Companies:,Pemberton bldg.,,"Pemberton bldg., Victoria, British Columbia, Canada",,
VICTORIA,B. C. Land Surveyors Corp. Co.,Land Companies:,,326 Pemberton blk.,"326 Pemberton blk., Victoria, British Columbia, Canada",,
VICTORIA,P. C. Coates,Land Companies:,,34 Board of Trade,"34 Board of Trade, Victoria, British Columbia, Canada",,
VICTORIA,J. H. Gray & Milligan Bros.,Land Companies:,,522 Fort,"522 Fort, Victoria, British Columbia, Canada",,
VICTORIA,Swannell & Noakes,Land Companies:,,1219 Langley,"1219 Langley, Victoria, British Columbia, Canada",48.4258303,-123.368457
VICTORIA,"Alvo V. Alvesleben, Ltd.",Real Estate:,,636 View,"636 View, Victoria, British Columbia, Canada",,
VICTORIA,Bagshawe & Co.,Real Estate:,,1216 Broad st.,"1216 Broad st., Victoria, British Columbia, Canada",48.4259901,-123.3665141
VICTORIA,H. J. Bayly,Real Estate:,,301 Times bldg.,"301 Times bldg., Victoria, British Columbia, Canada",,
VICTORIA,B. C. Land & Inv. Agcy.,Real Estate:,,922 Governm't,"922 Governm't, Victoria, British Columbia, Canada",,
VICTORIA,"B. C. Electric Ry. Co., Ltd., Land Dept.",Real Estate:,,1016 Langley,"1016 Langley, Victoria, British Columbia, Canada",48.4248282,-123.3688153
VICTORIA,"Bell Dev. Co., Ltd.",Real Estate:,,110 Pemberton blk.,"110 Pemberton blk., Victoria, British Columbia, Canada",,
VICTORIA,Betterton & Jones,Real Estate:,,1006 Government,"1006 Government, Victoria, British Columbia, Canada",,
VICTORIA,L. W. Bick,Real Estate:,,1104 Broad st.,"1104 Broad st., Victoria, British Columbia, Canada",48.4272976,-123.3660235
VICTORIA,Bigham & Co.,Real Estate:,,1303 Broad,"1303 Broad, Victoria, British Columbia, Canada",,
VICTORIA,O. H. Bowman & Co.,Real Estate:,,84 Mahon blk.,"84 Mahon blk., Victoria, British Columbia, Canada",,
VICTORIA,Ernest Brammer,Real Estate:,,103 Pemberton bld.,"103 Pemberton bld., Victoria, British Columbia, Canada",,
VICTORIA,A. J. W. Bridgman,Real Estate:,,1007 Government,"1007 Government, Victoria, British Columbia, Canada",,
VICTORIA,P. R. Brown,Real Estate:,,1130 Broad,"1130 Broad, Victoria, British Columbia, Canada",,
VICTORIA,George M. Davis,Real Estate:,219 Pemberton bldg.,,"219 Pemberton bldg., Victoria, British Columbia, Canada",,
VICTORIA,R. S. Day,Real Estate:,,620 Fort,"620 Fort, Victoria, British Columbia, Canada",,
VICTORIA,John Dean,Real Estate:,,1304 Government,"1304 Government, Victoria, British Columbia, Canada",,
VICTORIA,Dougal & McMorran,Real Estate:,4 Mahon blk.,,"4 Mahon blk., Victoria, British Columbia, Canada",,
VICTORIA,R. L. Drury,Real Estate:,,918 Government,"918 Government, Victoria, British Columbia, Canada",,
VICTORIA,Wm. Dunford & Son,Real Estate:,233 Pemberton blk.,,"233 Pemberton blk., Victoria, British Columbia, Canada",,
VICTORIA,Edson Townsite Co.,Real Estate:,,1204 Douglas,"1204 Douglas, Victoria, British Columbia, Canada",,
VICTORIA,J. G. Elliott,Real Estate:,,22 Green blk.,"22 Green blk., Victoria, British Columbia, Canada",,
VICTORIA,Empire Realty Co.,Real Estate:,,641 Fort,"641 Fort, Victoria, British Columbia, Canada",,
VICTORIA,Esquimalt Realty Co.,Real Estate:,,Cor. Esquimalt &,"Cor. Esquimalt &, Victoria, British Columbia, Canada",,
VICTORIA,Exchange R. E. Co.,Real Estate:,,718 Fort st.,"718 Fort st., Victoria, British Columbia, Canada",48.4247689,-123.364519
VICTORIA,C. P. Fegan & Co.,Real Estate:,6 Mahon blk.,,"6 Mahon blk., Victoria, British Columbia, Canada",,
VICTORIA,R. R. Fleming,Real Estate:,,634 View,"634 View, Victoria, British Columbia, Canada",,
VICTORIA,Gillespie & Hart,Real Estate:,,1115 Langley,"1115 Langley, Victoria, British Columbia, Canada",48.4258303,-123.368457
VICTORIA,A. Gilson,Real Estate:,,704 Yates st.,"704 Yates st., Victoria, British Columbia, Canada",48.4263798,-123.3645275
VICTORIA,Gourlay & Kent,Real Estate:,Green blk.,,"Green blk., Victoria, British Columbia, Canada",48.4259791,-123.3666976
VICTORIA,Grant & Lineham,Real Estate:,,633 Yates,"633 Yates, Victoria, British Columbia, Canada",48.4262645,-123.3661033
VICTORIA,J. Herbert Gray,Real Estate:,McCallum blk.,,"McCallum blk., Victoria, British Columbia, Canada",,
VICTORIA,Great West Permanent L. & Savs. Co.,Real Estate:,,1206 Government,"1206 Government, Victoria, British Columbia, Canada",,
VICTORIA,Green & Burdick Bros.,Real Estate:,,Langley &,"Langley &, Victoria, British Columbia, Canada",48.4258303,-123.368457
VICTORIA,Greenwood & Mitchell,Real Estate:,,575 Yates,"575 Yates, Victoria, British Columbia, Canada",48.4244082,-123.3448742
VICTORIA,Griffith Co.,Real Estate:,11 Mahon blk.,,"11 Mahon blk., Victoria, British Columbia, Canada",,
VICTORIA,W. Wallace Grime,Real Estate:,,522 Fort,"522 Fort, Victoria, British Columbia, Canada",,
VICTORIA,Grubb & Letts,Real Estate:,,Broad st.,"Broad st., Victoria, British Columbia, Canada",48.4272976,-123.3660235
VICTORIA,Z. M. Hamilton & G.,Real Estate:,,"Forester, 202","Forester, 202, Victoria, British Columbia, Canada",,
VICTORIA,Harlow & Johns,Real Estate:,,707½ Yates,"707½ Yates, Victoria, British Columbia, Canada",48.4244082,-123.3448742
VICTORIA,Hart & Gillespie,Real Estate:,,1115 Langley,"1115 Langley, Victoria, British Columbia, Canada",48.4258303,-123.368457
VICTORIA,Heath & Chaney,Real Estate:,7 Lee blk.,,"7 Lee blk., Victoria, British Columbia, Canada",,
VICTORIA,Heister Forman Co.,Real Estate:,,1212 Broad,"1212 Broad, Victoria, British Columbia, Canada",,
VICTORIA,E. Henderson,Real Estate:,,711 Yates,"711 Yates, Victoria, British Columbia, Canada",48.4260513,-123.3641865
