City,Company Name or Owners's Name,Company Type,building,address
WINNIPEG,"ELLIOTT, MacNEIL & DEACON",Attorney:,316 McIntyre blk,
WINNIPEG,"ARGYLE LAND CO., Ltd.",Real Estate:,,342 Garry st
WINNIPEG,G. H. BALLS & CO.,Real Estate:,,44 Princess
WINNIPEG,C. F. BENNETT,Real Estate:,308 Grain Exchange,
WINNIPEG,M. S. BERKELEY & CO.,Real Estate:,511 Union Bank bldg,
WINNIPEG,CHAS. N. BOURDON,Real Estate:,Somerset bldg,
WINNIPEG,H. A. D. CHALMERS,Real Estate:,405 Nanton bldg,
WINNIPEG,DOMINION SECURITY CO,Real Estate:,,
WINNIPEG,DOWNING & MILLER,Real Estate:,342 Somerset bld,
WINNIPEG,W. SANFORD EVANS & CO.,Real Estate:,308 Grain Exch,
WINNIPEG,T. FOX-DECENT,Real Estate:,33 Empress blk,
WINNIPEG,THE WM. A. FRY LAND CO.,Real Estate:,,290 Portage
WINNIPEG,"WILLIAM GENSER, Ltd.",Real Estate:,615 McIntyre blk,
WINNIPEG,"GLINES & CO., Ltd.",Real Estate:,301 N. Crown Bk. bldg,
WINNIPEG,THE GREAT WEST PERMANENT LOAN CO.,Real Estate:,,
WINNIPEG,T. GREGORY,Real Estate:,215 McIntyre blk,
WINNIPEG,"HARPER & McCREA, Ltd.",Real Estate:,419-21 Somerset blk,
WINNIPEG,CHAS. L. HYDE,Real Estate:,705 McIntyre,
WINNIPEG,KEELE & STROYAN,Real Estate:,,258½ Portage ave
WINNIPEG,"W. J. KERR, Ltd.",Real Estate:,,
WINNIPEG,LEITCH & MESSENGER,Real Estate:,,433 MAIN st
WINNIPEG,LOWERY BROTHERS,Real Estate:,,925 Main st
WINNIPEG,F. E. MAURICE REALTY CO.,Real Estate:,61 Scott blk,
WINNIPEG,"MAYWOOD-GIFFARD LAND & INV. Co., Ltd.",Real Estate:,526 Somerset bldg,
WINNIPEG,"THE NORTH SASKATCHEWAN LAND CO., Ltd.",Real Estate:,207 Farmer bldg,
WINNIPEG,CARL SHANNON,Real Estate:,,283 Donald st
WINNIPEG,J. W. SHERWIN & CO.,Real Estate:,,317 Portage ave
WINNIPEG,H. E. STANLEY,Real Estate:,,207½ Fort st
WINNIPEG,R. G. THOMPSON & CO.,Real Estate:,403 McArthur bldg,
WINNIPEG,TULLY & TULLY,Real Estate:,605 McIntyre blk,
WINNIPEG,WALCH LAND CO.,Real Estate:,North. Crown Bank bldg,
WINNIPEG,WATROUS SECURITIES CO.,Real Estate:,,249 Notre Dame ave
WINNIPEG,THE WINNIPEG COMMISSION CO.,Real Estate:,,466 Portage ave
WINNIPEG,S. Abramovich,Real Estate:,505 McIntyre bldg,
WINNIPEG,G. S. Alexander,Real Estate:,504 McIntyre bldg,
WINNIPEG,Alliance Land & Inv. Co.,Real Estate:,Rialto bldg,
WINNIPEG,American Land Co.,Real Estate:,,430½ Main
WINNIPEG,J. Vallance Anderson,Real Estate:,414 McIntyre bld,
WINNIPEG,William D. Andrews,Real Estate:,,109 Osborne
WINNIPEG,H. A. Argue,Real Estate:,1010 McArthur bldg,
WINNIPEG,M. Willis Argue,Real Estate:,818 Main,
WINNIPEG,S. Arnason,Real Estate:,310 McIntyre bldg,
WINNIPEG,Assiniboine Land & Inv. Co.,Real Estate:,506 Mc-Arthur bldg,
WINNIPEG,William Atkinson,Real Estate:,305 McIntyre bldg,
WINNIPEG,Atlas Inv. Co.,Real Estate:,,325½ Portage ave
WINNIPEG,"Bagley, Blackmore & Co.",Real Estate:,,317 Port. ave
WINNIPEG,G. W. Bannerman,Real Estate:,14 Bk. of Hamilton,
WINNIPEG,Bannerman & Clark,Real Estate:,499 Main,
WINNIPEG,Thomas Balley,Real Estate:,,666 Ross ave
WINNIPEG,E. L. Barber,Real Estate:,311 Main,
WINNIPEG,Bawlf Grain Co.,Real Estate:,R. E. Dept.,160 Princess
WINNIPEG,Bettes Co.,Real Estate:,,413 Main
WINNIPEG,Wm. Beairsto,Real Estate:,,219 Donald
WINNIPEG,Beaton & Vezina,Real Estate:,305 Enderton bldg,
WINNIPEG,Bell Rlty. Co.,Real Estate:,N. Crown bldg,
WINNIPEG,Berry & Bond,Real Estate:,325 Main,
WINNIPEG,Berry & Carson,Real Estate:,248 Tache,
WINNIPEG,K. Bielschowsky,Real Estate:,504 McGreevy bldg,
WINNIPEG,Bildfell & Paulson,Real Estate:,520 U. Bk. bldg,
WINNIPEG,Bishop Rlty. Co.,Real Estate:,3 Kensington bldg,
WINNIPEG,C. F. Blanchard & Co.,Real Estate:,607 Ashdown blg,
WINNIPEG,R. Blasdale,Real Estate:,N. Crown Bk. bldg,
WINNIPEG,J. J. Borebank,Real Estate:,,317 Portage ave
WINNIPEG,"Boyle, Higgins & Co.",Real Estate:,309 Somerset bldg,
WINNIPEG,"British-American Inv. Co., Ltd.",Real Estate:,54 Aikens bldg,
WINNIPEG,Brown's Land & Business Exchange,Real Estate:,,258 Portage ave
WINNIPEG,"Brydges & Waugh, Ltd.",Real Estate:,,368 Main
WINNIPEG,J. P. Buckman & Son,Real Estate:,48 Mer. Bank,
WINNIPEG,Claude Buffet,Real Estate:,,302 Main
WINNIPEG,"Bulmer, Downie, Reid & Curle",Real Estate:,1103 McArthur bldg,
WINNIPEG,F. D. Burns,Real Estate:,506 McIntyre bldg,
WINNIPEG,Burritt & Goodwyn,Real Estate:,,239 Portage ave
WINNIPEG,H. J. Cairns & Son,Real Estate:,Farmer bldg,
WINNIPEG,Cameron & Ogden,Real Estate:,67 Mer. Bank,
WINNIPEG,J. C. Campbell & Co.,Real Estate:,242 Somerset bld,
WINNIPEG,W. A. Campbell,Real Estate:,417 Nanton bldg,
WINNIPEG,Canada Landed & National Inv. Co.,Real Estate:,Bk. Hamilton,
WINNIPEG,Canada Loan & Rlty. Co.,Real Estate:,315 McIntyre bldg,
WINNIPEG,Canada North West Land Co.,Real Estate:,101 C. P. R. Depot,
WINNIPEG,"Can. West. Townsite Co., Ltd.",Real Estate:,615 Somerset bldg,
WINNIPEG,Canadian-German Rlty. Co.,Real Estate:,313 McIntyre bldg,
WINNIPEG,A. Carlson,Real Estate:,903 Main,
WINNIPEG,Carruthers & Co.,Real Estate:,N. Dame & McArthur,
WINNIPEG,Alfred G. Carter,Real Estate:,,221 McDermot ave
WINNIPEG,Cattley Loans & Finance. Ltd.,Real Estate:,116 Phoenix bldg,
WINNIPEG,Central Rlty. Co.,Real Estate:,208 Nanton bldg,
WINNIPEG,Chambre & Chambre,Real Estate:,285 Smith,
WINNIPEG,W. J. Christie & Co,Real Estate:,,
WINNIPEG,City Rlty. Co.,Real Estate:,310 Somerset bldg,
WINNIPEG,W. C. Clarke & Co.,Real Estate:,,222 Portage ave
WINNIPEG,B. C. Cockshott,Real Estate:,661 Main,
WINNIPEG,W. H. Collum & Co.,Real Estate:,517 Somerset bldg,
WINNIPEG,W. J. Colman,Real Estate:,,430½ Main
WINNIPEG,Commercial Loan & Tr. Co.,Real Estate:,,317 Portage
WINNIPEG,W. G. Conklin,Real Estate:,,258½ Portage ave
WINNIPEG,Cooper & Whitley,Real Estate:,502 McIntyre bldg,
WINNIPEG,Thos. Corbett,Real Estate:,613 McIntyre bldg,
WINNIPEG,"Corelli & Wilson Agcy., Ltd.",Real Estate:,620 McIntyre bldg,
WINNIPEG,R. H. Cottingham,Real Estate:,,Transcona
WINNIPEG,E. M. Counsell,Real Estate:,,258½ Portage ave
WINNIPEG,Frederick Couse & Co.,Real Estate:,,222 Portage ave
WINNIPEG,Cox & Livingstone,Real Estate:,64 Mer. Bk. bldg,
WINNIPEG,Cresent Land Co.,Real Estate:,509 McArthur bldg,
WINNIPEG,T. H. Crotty & Co.,Real Estate:,702 McArthur bldg.,
WINNIPEG,A. F. Crowe,Real Estate:,,New Post Office
WINNIPEG,Dalton Rlty. Co.,Real Estate:,,507 Main
WINNIPEG,J. H. Daly,Real Estate:,,247 Notre Dame
WINNIPEG,Dangerfield & Doolittle,Real Estate:,604 McIntyre bld.,
WINNIPEG,F. G. Davison,Real Estate:,"Room 3, Alberta bldg.",
WINNIPEG,Davis & McGreevy,Real Estate:,402 McGreevy bldg.,
WINNIPEG,De la Giclais & Co.,Real Estate:,,325 Main
WINNIPEG,Lawrence M. Delbridge,Real Estate:,519 Somerset bld.,
WINNIPEG,B. J. Desmond & Co.,Real Estate:,,219 McDermot ave.
WINNIPEG,R. Dickson,Real Estate:,207 McIntyre bldg.,
WINNIPEG,A. Douglas & Co.,Real Estate:,302 McIntyre bldg.,
WINNIPEG,Downie Bros.,Real Estate:,,258½ Portage ave.
WINNIPEG,Dumaresq Rlty. Co.,Real Estate:,,289 Garry
WINNIPEG,Ralph C. Duncan,Real Estate:,618 McIntyre bldg.,
WINNIPEG,Durkin Bros.,Real Estate:,341 Somerset bldg.,
WINNIPEG,H. Eastwood,Real Estate:,406 McArthur bldg.,
WINNIPEG,Edson Development Co.,Real Estate:,,290 Portage av.
WINNIPEG,"Edson; Watrous & Melville Rlty. Co,",Real Estate:,,210 Portage ave.
WINNIPEG,Geo. Edwards,Real Estate:,,317 Portage ave.
WINNIPEG,Arni Eggertson,Real Estate:,204 McIntyre bldg.,
WINNIPEG,G. Eidsvig,Real Estate:,306 Nanton bldg.,
WINNIPEG,"Elm Park Co., Ltd.",Real Estate:,507 McArthur bldg.,
WINNIPEG,H. L. Emmert,Real Estate:,,275 Portage ave.
WINNIPEG,C. H. Enderton & Co.,Real Estate:,,228 Portage ave.
WINNIPEG,W. Sanford Evans & Co.,Real Estate:,308 Gr. Exch.,
