City,Company Name or Owners's Name,Company Type,building,address,full_address,Lat,Lon
WINNIPEG,"ELLIOTT, MacNEIL & DEACON",Attorney:,316 McIntyre blk,,"316 McIntyre blk, Winnipeg, Manitoba, Canada",,
WINNIPEG,"ARGYLE LAND CO., Ltd.",Real Estate:,,342 Garry st,"342 Garry st, Winnipeg, Manitoba, Canada",49.8876314,-97.1373119
WINNIPEG,G. H. BALLS & CO.,Real Estate:,,44 Princess,"44 Princess, Winnipeg, Manitoba, Canada",49.8969656,-97.1437018
WINNIPEG,C. F. BENNETT,Real Estate:,308 Grain Exchange,,"308 Grain Exchange, Winnipeg, Manitoba, Canada",,
WINNIPEG,M. S. BERKELEY & CO.,Real Estate:,511 Union Bank bldg,,"511 Union Bank bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,CHAS. N. BOURDON,Real Estate:,Somerset bldg,,"Somerset bldg, Winnipeg, Manitoba, Canada",49.8934618,-97.1430773
WINNIPEG,H. A. D. CHALMERS,Real Estate:,405 Nanton bldg,,"405 Nanton bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,DOMINION SECURITY CO,Real Estate:,,,,,
WINNIPEG,DOWNING & MILLER,Real Estate:,342 Somerset bld,,"342 Somerset bld, Winnipeg, Manitoba, Canada",,
WINNIPEG,W. SANFORD EVANS & CO.,Real Estate:,308 Grain Exch,,"308 Grain Exch, Winnipeg, Manitoba, Canada",,
WINNIPEG,T. FOX-DECENT,Real Estate:,33 Empress blk,,"33 Empress blk, Winnipeg, Manitoba, Canada",,
WINNIPEG,THE WM. A. FRY LAND CO.,Real Estate:,,290 Portage,"290 Portage, Winnipeg, Manitoba, Canada",49.8935594,-97.1461805
WINNIPEG,"WILLIAM GENSER, Ltd.",Real Estate:,615 McIntyre blk,,"615 McIntyre blk, Winnipeg, Manitoba, Canada",,
WINNIPEG,"GLINES & CO., Ltd.",Real Estate:,301 N. Crown Bk. bldg,,"301 N. Crown Bk. bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,THE GREAT WEST PERMANENT LOAN CO.,Real Estate:,,,,,
WINNIPEG,T. GREGORY,Real Estate:,215 McIntyre blk,,"215 McIntyre blk, Winnipeg, Manitoba, Canada",,
WINNIPEG,"HARPER & McCREA, Ltd.",Real Estate:,419-21 Somerset blk,,"419-21 Somerset blk, Winnipeg, Manitoba, Canada",,
WINNIPEG,CHAS. L. HYDE,Real Estate:,705 McIntyre,,"705 McIntyre, Winnipeg, Manitoba, Canada",49.8924921,-97.1700023
WINNIPEG,KEELE & STROYAN,Real Estate:,,258½ Portage ave,"258½ Portage ave, Winnipeg, Manitoba, Canada",49.8916247,-97.1488498
WINNIPEG,"W. J. KERR, Ltd.",Real Estate:,,,,,
WINNIPEG,LEITCH & MESSENGER,Real Estate:,,433 MAIN st,"433 MAIN st, Winnipeg, Manitoba, Canada",49.8977344,-97.138484
WINNIPEG,LOWERY BROTHERS,Real Estate:,,925 Main st,"925 Main st, Winnipeg, Manitoba, Canada",49.8878702,-97.1342108
WINNIPEG,F. E. MAURICE REALTY CO.,Real Estate:,61 Scott blk,,"61 Scott blk, Winnipeg, Manitoba, Canada",,
WINNIPEG,"MAYWOOD-GIFFARD LAND & INV. Co., Ltd.",Real Estate:,526 Somerset bldg,,"526 Somerset bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,"THE NORTH SASKATCHEWAN LAND CO., Ltd.",Real Estate:,207 Farmer bldg,,"207 Farmer bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,CARL SHANNON,Real Estate:,,283 Donald st,"283 Donald st, Winnipeg, Manitoba, Canada",49.8856136,-97.1391589
WINNIPEG,J. W. SHERWIN & CO.,Real Estate:,,317 Portage ave,"317 Portage ave, Winnipeg, Manitoba, Canada",49.8916247,-97.1488498
WINNIPEG,H. E. STANLEY,Real Estate:,,207½ Fort st,"207½ Fort st, Winnipeg, Manitoba, Canada",49.891885,-97.1377079
WINNIPEG,R. G. THOMPSON & CO.,Real Estate:,403 McArthur bldg,,"403 McArthur bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,TULLY & TULLY,Real Estate:,605 McIntyre blk,,"605 McIntyre blk, Winnipeg, Manitoba, Canada",,
WINNIPEG,WALCH LAND CO.,Real Estate:,North. Crown Bank bldg,,"North. Crown Bank bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,WATROUS SECURITIES CO.,Real Estate:,,249 Notre Dame ave,"249 Notre Dame ave, Winnipeg, Manitoba, Canada",49.910871,-97.1889962
WINNIPEG,THE WINNIPEG COMMISSION CO.,Real Estate:,,466 Portage ave,"466 Portage ave, Winnipeg, Manitoba, Canada",49.8916247,-97.1488498
WINNIPEG,S. Abramovich,Real Estate:,505 McIntyre bldg,,"505 McIntyre bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,G. S. Alexander,Real Estate:,504 McIntyre bldg,,"504 McIntyre bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,Alliance Land & Inv. Co.,Real Estate:,Rialto bldg,,"Rialto bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,American Land Co.,Real Estate:,,430½ Main,"430½ Main, Winnipeg, Manitoba, Canada",,
WINNIPEG,J. Vallance Anderson,Real Estate:,414 McIntyre bld,,"414 McIntyre bld, Winnipeg, Manitoba, Canada",,
WINNIPEG,William D. Andrews,Real Estate:,,109 Osborne,"109 Osborne, Winnipeg, Manitoba, Canada",49.8785196,-97.1461063
WINNIPEG,H. A. Argue,Real Estate:,1010 McArthur bldg,,"1010 McArthur bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,M. Willis Argue,Real Estate:,818 Main,,"818 Main, Winnipeg, Manitoba, Canada",,
WINNIPEG,S. Arnason,Real Estate:,310 McIntyre bldg,,"310 McIntyre bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,Assiniboine Land & Inv. Co.,Real Estate:,506 Mc-Arthur bldg,,"506 Mc-Arthur bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,William Atkinson,Real Estate:,305 McIntyre bldg,,"305 McIntyre bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,Atlas Inv. Co.,Real Estate:,,325½ Portage ave,"325½ Portage ave, Winnipeg, Manitoba, Canada",49.8916247,-97.1488498
WINNIPEG,"Bagley, Blackmore & Co.",Real Estate:,,317 Port. ave,"317 Port. ave, Winnipeg, Manitoba, Canada",,
WINNIPEG,G. W. Bannerman,Real Estate:,14 Bk. of Hamilton,,"14 Bk. of Hamilton, Winnipeg, Manitoba, Canada",,
WINNIPEG,Bannerman & Clark,Real Estate:,499 Main,,"499 Main, Winnipeg, Manitoba, Canada",,
WINNIPEG,Thomas Balley,Real Estate:,,666 Ross ave,"666 Ross ave, Winnipeg, Manitoba, Canada",49.9058826,-97.1553584
WINNIPEG,E. L. Barber,Real Estate:,311 Main,,"311 Main, Winnipeg, Manitoba, Canada",,
WINNIPEG,Bawlf Grain Co.,Real Estate:,R. E. Dept.,160 Princess,"160 Princess, R. E. Dept., Winnipeg, Manitoba, Canada",,
WINNIPEG,Bettes Co.,Real Estate:,,413 Main,"413 Main, Winnipeg, Manitoba, Canada",,
WINNIPEG,Wm. Beairsto,Real Estate:,,219 Donald,"219 Donald, Winnipeg, Manitoba, Canada",49.8856136,-97.1391589
WINNIPEG,Beaton & Vezina,Real Estate:,305 Enderton bldg,,"305 Enderton bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,Bell Rlty. Co.,Real Estate:,N. Crown bldg,,"N. Crown bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,Berry & Bond,Real Estate:,325 Main,,"325 Main, Winnipeg, Manitoba, Canada",,
WINNIPEG,Berry & Carson,Real Estate:,248 Tache,,"248 Tache, Winnipeg, Manitoba, Canada",49.8831328,-97.1234914
WINNIPEG,K. Bielschowsky,Real Estate:,504 McGreevy bldg,,"504 McGreevy bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,Bildfell & Paulson,Real Estate:,520 U. Bk. bldg,,"520 U. Bk. bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,Bishop Rlty. Co.,Real Estate:,3 Kensington bldg,,"3 Kensington bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,C. F. Blanchard & Co.,Real Estate:,607 Ashdown blg,,"607 Ashdown blg, Winnipeg, Manitoba, Canada",,
WINNIPEG,R. Blasdale,Real Estate:,N. Crown Bk. bldg,,"N. Crown Bk. bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,J. J. Borebank,Real Estate:,,317 Portage ave,"317 Portage ave, Winnipeg, Manitoba, Canada",49.8916247,-97.1488498
WINNIPEG,"Boyle, Higgins & Co.",Real Estate:,309 Somerset bldg,,"309 Somerset bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,"British-American Inv. Co., Ltd.",Real Estate:,54 Aikens bldg,,"54 Aikens bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,Brown's Land & Business Exchange,Real Estate:,,258 Portage ave,"258 Portage ave, Winnipeg, Manitoba, Canada",49.8916247,-97.1488498
WINNIPEG,"Brydges & Waugh, Ltd.",Real Estate:,,368 Main,"368 Main, Winnipeg, Manitoba, Canada",,
WINNIPEG,J. P. Buckman & Son,Real Estate:,48 Mer. Bank,,"48 Mer. Bank, Winnipeg, Manitoba, Canada",,
WINNIPEG,Claude Buffet,Real Estate:,,302 Main,"302 Main, Winnipeg, Manitoba, Canada",,
WINNIPEG,"Bulmer, Downie, Reid & Curle",Real Estate:,1103 McArthur bldg,,"1103 McArthur bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,F. D. Burns,Real Estate:,506 McIntyre bldg,,"506 McIntyre bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,Burritt & Goodwyn,Real Estate:,,239 Portage ave,"239 Portage ave, Winnipeg, Manitoba, Canada",49.8949482,-97.1406635
WINNIPEG,H. J. Cairns & Son,Real Estate:,Farmer bldg,,"Farmer bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,Cameron & Ogden,Real Estate:,67 Mer. Bank,,"67 Mer. Bank, Winnipeg, Manitoba, Canada",,
WINNIPEG,J. C. Campbell & Co.,Real Estate:,242 Somerset bld,,"242 Somerset bld, Winnipeg, Manitoba, Canada",,
WINNIPEG,W. A. Campbell,Real Estate:,417 Nanton bldg,,"417 Nanton bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,Canada Landed & National Inv. Co.,Real Estate:,Bk. Hamilton,,"Bk. Hamilton, Winnipeg, Manitoba, Canada",,
WINNIPEG,Canada Loan & Rlty. Co.,Real Estate:,315 McIntyre bldg,,"315 McIntyre bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,Canada North West Land Co.,Real Estate:,101 C. P. R. Depot,,"101 C. P. R. Depot, Winnipeg, Manitoba, Canada",,
WINNIPEG,"Can. West. Townsite Co., Ltd.",Real Estate:,615 Somerset bldg,,"615 Somerset bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,Canadian-German Rlty. Co.,Real Estate:,313 McIntyre bldg,,"313 McIntyre bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,A. Carlson,Real Estate:,903 Main,,"903 Main, Winnipeg, Manitoba, Canada",,
WINNIPEG,Carruthers & Co.,Real Estate:,N. Dame & McArthur,,"N. Dame & McArthur, Winnipeg, Manitoba, Canada",,
WINNIPEG,Alfred G. Carter,Real Estate:,,221 McDermot ave,"221 McDermot ave, Winnipeg, Manitoba, Canada",49.9081495,-97.1734714
WINNIPEG,Cattley Loans & Finance. Ltd.,Real Estate:,116 Phoenix bldg,,"116 Phoenix bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,Central Rlty. Co.,Real Estate:,208 Nanton bldg,,"208 Nanton bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,Chambre & Chambre,Real Estate:,285 Smith,,"285 Smith, Winnipeg, Manitoba, Canada",,
WINNIPEG,W. J. Christie & Co,Real Estate:,,,,,
WINNIPEG,City Rlty. Co.,Real Estate:,310 Somerset bldg,,"310 Somerset bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,W. C. Clarke & Co.,Real Estate:,,222 Portage ave,"222 Portage ave, Winnipeg, Manitoba, Canada",49.8916247,-97.1488498
WINNIPEG,B. C. Cockshott,Real Estate:,661 Main,,"661 Main, Winnipeg, Manitoba, Canada",,
WINNIPEG,W. H. Collum & Co.,Real Estate:,517 Somerset bldg,,"517 Somerset bldg, Winnipeg, Manitoba, Canada",,
WINNIPEG,W. J. Colman,Real Estate:,,430½ Main,"430½ Main, Winnipeg, Manitoba, Canada",,
WINNIPEG,Commercial Loan & Tr. Co.,Real Estate:,,317 Portage,"317 Portage, Winnipeg, Manitoba, Canada",49.8935594,-97.1461805
WINNIPEG,W. G. Conklin,Real Estate:,,258½ Portage ave,"258½ Portage ave, Winnipeg, Manitoba, Canada",49.8916247,-97.1488498
WINNIPEG,Cooper & Whitley,Real Estate:,502 McIntyre bldg,,"502 McIntyre bldg, Winnipeg, Manitoba, Canada",,
